id,hierarchy,galil,kahal,name,settlement_type,pop,year,region,modern_name,viv,pow,geocode,lat,lon,kahal_id,subunit
39,,Rus,Kolumnow,Medwidka,village,4,1765,BRT,Medvidka,Bracław,Bracław,BRC_KOLUMNOW,49.3834903,28.45115662,285,
40,,Rus,Kolumnow,Sosenka,village,5,1765,BRT,Sosonka,Bracław,Bracław,BRC_KOLUMNOW,49.32556952,28.57200623,285,
41,,Rus,Kolumnow,Sobolowka,village,2,1765,BRT,Sobolivka,Bracław,Bracław,BRC_KOLUMNOW,49.33541415,28.64341736,285,
42,,Rus,Kolumnow,Lesiyowka,village,11,1765,BRT,Lisova Lysiivka,Bracław,Bracław,BRC_KOLUMNOW,49.36583058,28.60599518,285,
43,,Rus,Kolumnow,Mieziaków,village,10,1765,BRT,Miziakivski Khutory,Bracław,Bracław,BRC_KOLUMNOW,49.32870212,28.35845947,285,
45,1,Rus,Strzyżawka,Strzyżawka,city,272,1765,BRT,Stryzhavka,Bracław,Bracław,BRC_STRZYZAWKA,49.30955,28.47208,286,
46,,Rus,Strzyżawka,Stadnica,village,7,1765,BRT,Stadnytsia,Bracław,Bracław,BRC_STRZYZAWKA,49.2876,28.60373,286,
47,,Rus,Strzyżawka,Piatniczany,village,9,1765,BRT,Vinnytsya,Bracław,Bracław,BRC_STRZYZAWKA,49.2322,28.46871,286,
48,,Rus,Strzyżawka,Desna,village,4,1765,BRT,Desna,Bracław,Bracław,BRC_STRZYZAWKA,49.28166,28.54034,286,
49,,Rus,Strzyżawka,Ławruwka,village,2,1765,BRT,Lavrivka,Bracław,Bracław,BRC_STRZYZAWKA,49.34674,28.46324,286,
50,,Rus,Strzyżawka,Pereurki,village,6,1765,BRT,Pereorky,Bracław,Bracław,BRC_STRZYZAWKA,49.31446,28.40795,286,
51,,Rus,Strzyżawka,Woronowica,city,115,1765,BRT,Voronovytsya,Bracław,Bracław,BRC_STRZYZAWKA,49.10903,28.68681,286,
52,,Rus,Strzyżawka,Paryiowka,village,11,1765,BRT,Parpurovtsy,Bracław,Bracław,BRC_STRZYZAWKA,49.16827,28.53179,286,
53,,Rus,Strzyżawka,Kosnorow,village,18,1765,BRT,Kosakivka,Bracław,Bracław,BRC_STRZYZAWKA,49.29029,28.73535,286,
54,,Rus,Strzyżawka,Michalowka,village,12,1765,BRT,Mykhailivka,Bracław,Bracław,BRC_STRZYZAWKA,49.19876,28.72415,286,
55,,Rus,Strzyżawka,Stepanowka,village,12,1765,BRT,Stepanivka,Bracław,Bracław,BRC_STRZYZAWKA,49.13028,28.7666,286,
56,,Rus,Strzyżawka,Soroczyn,village,3,1765,BRT,Sorochin,Bracław,Bracław,BRC_STRZYZAWKA,49.08333,28.68333,286,
57,,Rus,Strzyżawka,Szenderowka,village,9,1765,BRT,Shenderiv,Bracław,Bracław,BRC_STRZYZAWKA,49.05259,28.64139,286,
58,,Rus,Strzyżawka,Fedorowka,village,11,1765,BRT,Federivka,Bracław,Bracław,BRC_STRZYZAWKA,49.05952438,28.60889777,286,
59,,Rus,Strzyżawka,Markowka,village,5,1765,BRT,Markovka,Bracław,Bracław,BRC_STRZYZAWKA,49.07631,28.61464,286,
60,,Rus,Strzyżawka,Trostianiec,village,4,1765,BRT,Trostianets,Bracław,Bracław,BRC_STRZYZAWKA,49.10289,28.60386,286,
61,,Rus,Strzyżawka,Kalniszowka,village,10,1765,BRT,Kal’nishovka,Bracław,Bracław,BRC_STRZYZAWKA,49.0803295,28.65104781,286,
62,,Rus,Strzyżawka,Kordyszowka,village,6,1765,BRT,Kordyshivka,Bracław,Bracław,BRC_STRZYZAWKA,49.08951,28.75601,286,
63,,Rus,Strzyżawka,Zarudyńce,village,8,1765,BRT,Zarudyńce,Bracław,Bracław,BRC_STRZYZAWKA,,,286,
64,,Rus,Strzyżawka,Dubowiec,village,4,1765,BRT,Dubovets,Bracław,Bracław,BRC_STRZYZAWKA,49.05441634,28.72466602,286,
65,,Rus,Strzyżawka,Glinianiec,village,12,1765,BRT,Glinyanets,Bracław,Bracław,BRC_STRZYZAWKA,49.07049544,28.73736877,286,
67,1,Rus,Sieliszcza,Sieliszcza,city,37,1765,BRT,Selyshche,Bracław,Bracław,BRC_SIELISZCZE,49.12883,28.35927,287,
68,,Rus,Sieliszcza,Rowiec,village,5,1765,BRT,Riv,Bracław,Bracław,BRC_SIELISZCZE,49.08336,28.05899,287,
69,,Rus,Sieliszcza,Biskupka,village,5,1765,BRT,Pysarivka,Bracław,Bracław,BRC_SIELISZCZE,49.1887,28.60449,287,
70,,Rus,Sieliszcza,Bochenniki,village,4,1765,BRT,Bokhonyky,Bracław,Bracław,BRC_SIELISZCZE,49.16554,28.37415,287,
71,,Rus,Sieliszcza,Czerlinkow,village,5,1765,BRT,Cherlinkiv,Bracław,Bracław,BRC_SIELISZCZE,49.16667,28.38333,287,
72,,Rus,Sieliszcza,Komarow,village,3,1765,BRT,Komariv,Bracław,Bracław,BRC_SIELISZCZE,49.13333,28.38333,287,
73,,Rus,Sieliszcza,Pilipi,village,3,1765,BRT,Pyliava,Bracław,Bracław,BRC_SIELISZCZE,49.07314,28.52343,287,
74,,Rus,Sieliszcza,Gryzince,village,8,1765,BRT,Grizhintsy,Bracław,Bracław,BRC_SIELISZCZE,49.08786509,28.39563612,287,
75,,Rus,Sieliszcza,Witawka,village,4,1765,BRT,Vitava,Bracław,Bracław,BRC_SIELISZCZE,49.07582,28.36041,287,
77,1,Rus,Woroszyłowka,Woroszyłowka,city,116,1765,BRT,Voroshylivka,Bracław,Bracław,BRC_WOROSZYLOWKA,49.04354,28.33367,288,
78,,Rus,Woroszyłowka,Borskow,village,3,1765,BRT,Borskov,Bracław,Bracław,BRC_WOROSZYLOWKA,49.02598,28.38277,288,
79,,Rus,Woroszyłowka,Majanow,village,10,1765,BRT,Maianiv,Bracław,Bracław,BRC_WOROSZYLOWKA,49.00482214,28.3199102,288,
80,,Rus,Woroszyłowka,Witawa,village,7,1765,BRT,Vitava,Bracław,Bracław,BRC_WOROSZYLOWKA,49.07582,28.36041,288,
81,,Rus,Woroszyłowka,Taraszowka,village,5,1765,BRT,Tarasivka,Bracław,Bracław,BRC_WOROSZYLOWKA,48.90673,28.16376,288,
82,,Rus,Woroszyłowka,Okuła,village,5,1765,BRT,Okuła,Bracław,Bracław,BRC_WOROSZYLOWKA,,,288,
84,1,Rus,Krasne,Krasne,city,466,1765,BRT,Krasne,Bracław,Bracław,BRC_KRASNE,48.91578,28.404,289,
85,,Rus,Krasne,Hryszowce,village,5,1765,BRT,Hryshivtsi,Bracław,Bracław,BRC_KRASNE,48.94885,28.3455,289,
86,,Rus,Krasne,Kobyleckie,village,7,1765,BRT,Kobeletske,Bracław,Bracław,BRC_KRASNE,48.93565,28.30284,289,
87,,Rus,Krasne,Szczuczyńce,village,8,1765,BRT,Shchuchyntsi,Bracław,Bracław,BRC_KRASNE,48.96268,28.24673,289,
88,,Rus,Krasne,Stroince,village,7,1765,BRT,Strointsi,Bracław,Bracław,BRC_KRASNE,48.90824,28.2994,289,
89,,Rus,Krasne,Krasnianka,village,7,1765,BRT,Krasnianka,Bracław,Bracław,BRC_KRASNE,48.86243,28.34048,289,
90,,Rus,Krasne,Łopatyńce,village,12,1765,BRT,Lopatyntsi,Bracław,Bracław,BRC_KRASNE,48.81203496,28.36870031,289,
91,,Rus,Krasne,Strzelnik,village,7,1765,BRT,Strilnyky,Bracław,Bracław,BRC_KRASNE,48.79263,28.41,289,
92,,Rus,Krasne,Zwiedenowka,village,8,1765,BRT,Zvedenivka,Bracław,Bracław,BRC_KRASNE,48.71051,28.41028,289,
93,,Rus,Krasne,Rachny Lasowe,village,13,1765,BRT,Rakhny-Lisovi,Bracław,Bracław,BRC_KRASNE,48.7868,28.48314,289,
94,,Rus,Krasne,Huta Szpikowska,village,4,1765,BRT,Shpykiv,Bracław,Bracław,BRC_KRASNE,48.78411,28.56359,289,
95,,Rus,Krasne,Sledzie,village,4,1765,BRT,Slidy,Bracław,Bracław,BRC_KRASNE,48.82065,28.51441,289,
96,,Rus,Krasne,Buszynka,village,6,1765,BRT,Bushynka,Bracław,Bracław,BRC_KRASNE,48.83402,28.46036,289,
97,,Rus,Krasne,Ujarzynce,village,9,1765,BRT,Uiaryntsi,Bracław,Bracław,BRC_KRASNE,48.8642,28.4848,289,
98,,Rus,Krasne,Onypkowce,village,7,1765,BRT,Onytkivtsi,Bracław,Bracław,BRC_KRASNE,48.94193,28.53665,289,
99,,Rus,Krasne,Żachnowka,village,9,1765,BRT,Zhakhnivka,Bracław,Bracław,BRC_KRASNE,48.93597,28.57798,289,
100,,Rus,Krasne,Iwanowce,village,6,1765,BRT,Ivonivtsi,Bracław,Bracław,BRC_KRASNE,48.9071,28.58757,289,
101,,Rus,Krasne,Worobijowka,village,7,1765,BRT,Vorobiivka,Bracław,Bracław,BRC_KRASNE,48.92166,28.67686,289,
102,,Rus,Krasne,Rohozna,village,14,1765,BRT,Rohizna,Bracław,Bracław,BRC_KRASNE,48.88827,28.62958,289,
103,,Rus,Krasne,Ułyszka,village,5,1765,BRT,Mala Vulyha,Bracław,Bracław,BRC_KRASNE,48.86474,28.6277,289,
104,,Rus,Krasne,Szpikow,village,21,1765,BRT,Shpykiv,Bracław,Bracław,BRC_KRASNE,48.78411,28.56359,289,
105,,Rus,Krasne,Lewkowka,village,4,1765,BRT,Levkivtsi,Bracław,Bracław,BRC_KRASNE,48.74556,28.53607,289,
106,,Rus,Krasne,Jurkowka,village,5,1765,BRT,Yurkivka,Bracław,Bracław,BRC_KRASNE,48.68887817,28.57916179,289,
107,,Rus,Krasne,Ułyha,village,9,1765,BRT,Velyka Vulyha,Bracław,Bracław,BRC_KRASNE,48.85788,28.58134,289,
108,,Rus,Krasne,Stoiany,village,9,1765,BRT,Stoyany,Bracław,Bracław,BRC_KRASNE,48.86667,28.55,289,
109,,Rus,Krasne,Perohow,village,6,1765,BRT,Pyrohiv,Bracław,Bracław,BRC_KRASNE,48.90648,28.48187,289,
110,,Rus,Krasne,Rachny Polowe,village,13,1765,BRT,Rakhny-Polovi,Bracław,Bracław,BRC_KRASNE,48.91118,28.51259,289,
111,,Rus,Krasne,Rapaicha,village,5,1765,BRT,Rapaicha,Bracław,Bracław,BRC_KRASNE,,,289,
112,,Rus,Krasne,Czeremoszna,village,5,1765,BRT,Cheremoshne,Bracław,Bracław,BRC_KRASNE,48.9553,28.41747,289,
113,,Rus,Krasne,Iwankowce,village,7,1765,BRT,Ivankivtsi,Bracław,Bracław,BRC_KRASNE,48.9605,28.38469,289,
114,,Rus,Krasne,Sutyska,village,9,1765,BRT,Sutysky,Bracław,Bracław,BRC_KRASNE,49.03901,28.41956,289,
115,,Rus,Krasne,"Rososze, Przedmieście Krasniańskie",city,11,1765,BRT,"Rososze, Przedmieście Krasniańskie",Bracław,Bracław,BRC_KRASNE,,,289,
116,,Rus,Krasne,"Szwaczówka, Przedmieście Krasniańskie",city,7,1765,BRT,"Szwaczówka, Przedmieście Krasniańskie",Bracław,Bracław,BRC_KRASNE,,,289,
118,1,Rus,Tomaszpol,Tomaszpol,city,446,1765,BRT,Tomashpil,Bracław,Bracław,BRC_TOMASZPOL,48.53695,28.51295,290,
119,,Rus,Tomaszpol,Hołowo Rusawa,village,15,1765,BRT,Golovarusava,Bracław,Bracław,BRC_TOMASZPOL,48.64651,28.51682,290,
120,,Rus,Tomaszpol,Pienkowka,village,10,1765,BRT,Penkivka,Bracław,Bracław,BRC_TOMASZPOL,48.57829,28.42537,290,
121,,Rus,Tomaszpol,Antonowka,village,13,1765,BRT,Antonivka,Bracław,Bracław,BRC_TOMASZPOL,48.53093,28.43095,290,
122,,Rus,Tomaszpol,Widły,village,11,1765,BRT,Vyla,Bracław,Bracław,BRC_TOMASZPOL,48.49603,28.43747,290,
123,,Rus,Tomaszpol,Rusawka,village,16,1765,BRT,Rusava,Bracław,Bracław,BRC_TOMASZPOL,48.47752,28.44402,290,
124,,Rus,Tomaszpol,Ihnatkow,village,12,1765,BRT,Hnatkiv,Bracław,Bracław,BRC_TOMASZPOL,48.44822,28.49185,290,
125,,Rus,Tomaszpol,Kaczkowka,village,8,1765,BRT,Kachkivka,Bracław,Bracław,BRC_TOMASZPOL,48.28445,28.46377,290,
127,1,Rus,Miastkowka,Miastkowka,city,604,1765,BRT,Horodkivka,Bracław,Bracław,BRC_MIASTKOWKA,48.37714,28.6876,291,
128,,Rus,Miastkowka,Dachtalia,village,12,1765,BRT,Dakhtaliia,Bracław,Bracław,BRC_MIASTKOWKA,48.39582,28.57745,291,
129,,Rus,Miastkowka,Netrebowka,village,3,1765,BRT,Netrebivka,Bracław,Bracław,BRC_MIASTKOWKA,48.41039,28.54678,291,
130,,Rus,Miastkowka,Jałaniec,village,9,1765,BRT,Yalanets,Bracław,Bracław,BRC_MIASTKOWKA,48.37992,28.49178,291,
131,,Rus,Miastkowka,Werbka,village,7,1765,BRT,Verbka,Bracław,Bracław,BRC_MIASTKOWKA,48.28861,28.56858,291,
132,,Rus,Miastkowka,Dżugastra,village,9,1765,BRT,Dzhuhastra,Bracław,Bracław,BRC_MIASTKOWKA,48.33938,28.63981,291,
133,,Rus,Miastkowka,Olszanka,village,13,1765,BRT,Vilshanka,Bracław,Bracław,BRC_MIASTKOWKA,48.25508411,28.6259079,291,
134,,Rus,Miastkowka,Chrestyscza,village,8,1765,BRT,Chrestyscza,Bracław,Bracław,BRC_MIASTKOWKA,,,291,
135,,Rus,Miastkowka,Stawki,village,10,1765,BRT,Stavky,Bracław,Bracław,BRC_MIASTKOWKA,48.26271,28.88093,291,
136,,Rus,Miastkowka,Piszczanka,village,7,1765,BRT,Pishchanka,Bracław,Bracław,BRC_MIASTKOWKA,48.21249,28.88056,291,
137,,Rus,Miastkowka,Rudnicka,village,18,1765,BRT,Rudnytske,Bracław,Bracław,BRC_MIASTKOWKA,48.25416974,29.00115967,291,
138,,Rus,Miastkowka,Wałowiec,village,16,1765,BRT,Volovaya,Bracław,Bracław,BRC_MIASTKOWKA,48.15546,28.66252,291,
139,,Rus,Miastkowka,Popieluchi,village,9,1765,BRT,Popeliukhy,Bracław,Bracław,BRC_MIASTKOWKA,48.21579,28.97181,291,
140,,Rus,Miastkowka,Krzykliwska Słoboda,village,4,1765,BRT,Kriklivets,Bracław,Bracław,BRC_MIASTKOWKA,48.31667,28.98333,291,
141,,Rus,Miastkowka,Krzykliwiec,village,12,1765,BRT,Kryklyvets,Bracław,Bracław,BRC_MIASTKOWKA,48.3208,28.98154,291,
