name,index_sht,prov,prov_no,dist_no,pale,region,no_jew_count,jew_pop,tot_pop,lat,lon,census,full_name,type,jewpop_flag,comments,total,total_flag,prov_name,dist_name
Kriulian,0306Kr1,Bessarabia,3,6,Pale,New Russia,0,338,2054,47.2167,29.15,1,Kriulian,mestechko,,,2054,,Bessarabia,Orgieev
Olishkany,0306Ol1,Bessarabia,3,6,Pale,New Russia,0,341,2943,47.8,28.7167,1,Olishkany,selo,,,2943,,Bessarabia,Orgieev
Orgieev,0306Or1,Bessarabia,3,6,Pale,New Russia,0,7144,12336,47.3833,28.8167,1,Orgieev,Uezdnyi gorod,,,12336,,Bessarabia,Orgieev
Rezena,0306Rz1,Bessarabia,3,6,Pale,New Russia,0,3182,3652,47.75,28.9667,1,Rezena,mestechko,,,3652,,Bessarabia,Orgieev
Teleneshty,0306Tl1,Bessarabia,3,6,Pale,New Russia,0,3876,4379,47.5,28.3667,1,Teleneshty,mestechko,,,4379,,Bessarabia,Orgieev
Tuzora,0306Tz1,Bessarabia,3,6,Pale,New Russia,0,4593,5153,47.25,28.3,1,Tuzora,mestechko,,,5153,,Bessarabia,Orgieev
Vysshie Samashkony,0306Vy1,Bessarabia,3,6,Pale,New Russia,0,79,678,47.75,28.68333,1,Vysshie Samashkony,selo,,,678,,Bessarabia,Orgieev
Ataki,0307At1,Bessarabia,3,7,Pale,New Russia,0,4690,6976,48.4333,27.8,1,Ataki,mestechko,,,6976,,Bessarabia,Soroki
Bricheva,0307Br1,Bessarabia,3,7,Pale,New Russia,0,1598,1644,48.1167,27.65,1,Bricheva,koloniia,,,1644,,Bessarabia,Soroki
Dombroveny,0307Dm1,Bessarabia,3,7,Pale,New Russia,0,1726,1815,48.05,28.2333,1,Dombroveny,koloniia,,,1815,,Bessarabia,Soroki
Kapreshty,0307Kp1,Bessarabia,3,7,Pale,New Russia,0,866,1002,47.75,28.4667,1,Kapreshty (Kapremty),koloniia,,Different name in census but exactly the same population,1002,,Bessarabia,Soroki
Kremenchuk,0307Kr1,Bessarabia,3,7,Pale,New Russia,0,291,985,48.26667,28.06667,1,Kremenchuk,selo,,,985,,Bessarabia,Soroki
Kot Markuleshty,0307Kt1,Bessarabia,3,7,Pale,New Russia,0,1336,1339,47.8667,28.25,1,Kot Markuleshty,koloniia,,Different name in census but exactly the same population,1339,,Bessarabia,Soroki
Liublin,0307Lb1,Bessarabia,3,7,Pale,New Russia,0,512,517,48.11666,28.53333,1,Liublin,koloniia,,Coordinates added 191005,517,,Bessarabia,Soroki
Pogorno-Rezesh,0307Pg1,Bessarabia,3,7,Pale,New Russia,0,73,540,47.8333,28.5,1,Pogorno-Rezesh,derevnia,,,540,,Bessarabia,Soroki
Ruda,0307Rd1,Bessarabia,3,7,Pale,New Russia,0,127,1289,48.3333,27.9,1,Ruda,selo,,,1289,,Bessarabia,Soroki
Subbotovka,0307Sb1,Bessarabia,3,7,Pale,New Russia,1,,,48.33333,28,,Subbotovka,derevnia,unknown,"Not mentioned in lists of census, found accidently, searching on Wikimapia",,unknown,Bessarabia,Soroki
Soroki,0307Sr1,Bessarabia,3,7,Pale,New Russia,0,8783,15351,48.15,28.3,1,Soroki,Uezdnyi gorod,,,15351,,Bessarabia,Soroki
Vad,0307Vd1,Bessarabia,3,7,Pale,New Russia,0,3237,4641,47.93333,28.81667,1,Vad (Vad-Rashkov),mestechko,,,4641,,Bessarabia,Soroki
Vertiuzhany,0307Vr1,Bessarabia,3,7,Pale,New Russia,0,1047,1057,48,28.5333,1,Vertiuzhany,koloniia,,Remains of settlement can be seen on Wikimapia,1057,,Bessarabia,Soroki
Zguritse,0307Zg1,Bessarabia,3,7,Pale,New Russia,0,1802,2107,48.1167,28.0167,1,Zguritse,koloniia,,,2107,,Bessarabia,Soroki
Ataki,0308At1,Bessarabia,3,8,Pale,New Russia,0,123,831,48.9,26.8,1,Ataki,selo,,,831,,Bessarabia,Khotin
