name,index_sht,prov,prov_no,dist_no,pale,region,no_jew_count,jew_pop,tot_pop,lat,lon,census,full_name,type,jewpop_flag,comments,total,total_flag,prov_name,dist_name
Byten',1108By1,Grodno,11,8,Pale,Lithuania,0,1614,2682,52.8833,25.5,1,Byten',mestechko,,,2682,,Grodno,Slonim
Derechin,1108Dr1,Grodno,11,8,Pale,Lithuania,0,1887,2663,53.25,24.9167,1,Derechin,mestechko,,,2663,,Grodno,Slonim
Diatlovo,1108Dt1,Grodno,11,8,Pale,Lithuania,0,3033,3979,53.4667,25.4,1,Diatlovo,mestechko,,,3979,,Grodno,Slonim
Dvorets,1108Dv1,Grodno,11,8,Pale,Lithuania,0,868,1366,53.4,25.5667,1,Dvorets,mestechko,,,1366,,Grodno,Slonim
Golynka,1108Gl1,Grodno,11,8,Pale,Lithuania,0,339,719,53.2167,25.0333,1,Golynka,mestechko,,,719,,Grodno,Slonim
Ivatsevichi,1108Iv1,Grodno,11,8,Pale,Lithuania,1,,,52.7167,25.3333,0,Ivatsevichi,,,"Not mentioned in census, Stated at 1871 after train station creation: http://be.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%B0%D0%B4_%D0%86%D0%B2%D0%B0%D1%86%D1%8D%D0%B2%D1%96%D1%87%D1%8B",,,Grodno,Slonim
Koloniia Sinaiskaia,1108Kl1,Grodno,11,8,Pale,Lithuania,1,,,53.21667,24.81667,0,Koloniia Sinaiskaia,koloniia,unknown,Not mentioned in census; no linked page,,unknown,Grodno,Slonim
Kossovo,1108Ks1,Grodno,11,8,Pale,Lithuania,0,2028,3092,52.75,25.15,1,Kossovo,mestechko,,,3092,,Grodno,Slonim
Kozlovshchina,1108Kz1,Grodno,11,8,Pale,Lithuania,0,325,,53.3167,25.3,0,Kozlovshchina,mestechko,uncertain,"Not mentioned in census, http://www.rujen.ru/index.php/%D0%9A%D0%BE%D0%B7%D0%BB%D0%BE%D0%B2%D1%89%D0%B8%D0%BD%D0%B0",,,Grodno,Slonim
Mikhalin,1108Mk1,Grodno,11,8,Pale,Lithuania,0,59,549,,,1,Mikhalin,steklianyi zavod,,May be inside Slonim but no approve found,549,,Grodno,Slonim
Milovidy,1108Ml1,Grodno,11,8,Pale,Lithuania,0,95,543,52.88334,25.85,1,Milovidy,selo,,http://globus.tut.by/milovidy/index.htm,543,,Grodno,Slonim
Molchad',1108Ml2,Grodno,11,8,Pale,Lithuania,0,1188,1733,53.3167,25.7,1,Molchad',mestechko,,,1733,,Grodno,Slonim
Novoel'nia,1108Nv1,Grodno,11,8,Pale,Lithuania,0,135,,53.4667,25.5833,0,Novoel'nia,selo,,"Not mentioned in census, http://rujen.ru/index.php?title=%D0%9D%D0%9E%D0%92%D0%9E%D0%95%D0%9B%D0%AC%D0%9D%D0%AF&redirect=no",,unknown,Grodno,Slonim
Ozernitsa,1108Oz1,Grodno,11,8,Pale,Lithuania,0,183,759,53.0667,25,1,Ozernitsa,mestechko,,,759,,Grodno,Slonim
Pavlovo,1108Pv1,Grodno,11,8,Pale,Lithuania,0,332,,52.8333,24.9167,0,"Pavlovo (Puzovichi, Odynowszczyzna)",derevnia,,"Not mentioned in census, http://be-x-old.wikipedia.org/wiki/%D0%9F%D1%83%D0%B7%D0%B0%D0%B2%D1%96%D1%87%D1%8B_(%D0%A1%D0%BB%D0%BE%D0%BD%D1%96%D0%BC%D1%81%D0%BA%D1%96_%D1%80%D0%B0%D1%91%D0%BD) , number of jews mentioned on Polish site: http://www",,unknown,Grodno,Slonim
Ruda,1108Rd1,Grodno,11,8,Pale,Lithuania,0,86,657,52.73333,25.28333,1,Ruda,derevnia,,,657,,Grodno,Slonim
Rozhany,1108Rz1,Grodno,11,8,Pale,Lithuania,0,3599,5016,52.8667,24.8833,1,Rozhany,mestechko,,,5016,,Grodno,Slonim
Slonim,1108Sl1,Grodno,11,8,Pale,Lithuania,0,11515,15863,53.0833,25.3167,1,Slonim,Uezdnyi gorod,,,15863,,Grodno,Slonim
Zhirovitsy,1108Zr1,Grodno,11,8,Pale,Lithuania,0,76,608,53,25.33333,1,Zhirovitsy,selo,,,608,,Grodno,Slonim
Dombrovo,1109Dm1,Grodno,11,9,Pale,Lithuania,0,1499,1988,53.6667,23.35,1,Dombrovo,Zashtatnyi gorod,,,1988,,Grodno,Sokolki
Ianov,1109In1,Grodno,11,9,Pale,Lithuania,0,1797,2296,53.4667,23.2333,1,Ianov,Zashtatnyi gorod,,,2296,,Grodno,Sokolki
Koloniia Isaaka,1109Kl1,Grodno,11,9,Pale,Lithuania,0,26,26,53.4,23.75,0,Koloniia Isaaka,koloniia,families,"Not mentioned in census; points to Odel'sk : -1947210 26 families are mentioned as living 1,5 km near this town: http://berkovich-zametki.com/2010/Zametki/Nomer8/Duhin1.php",,families,Grodno,Sokolki
Koritsyn,1109Kr1,Grodno,11,9,Pale,Lithuania,0,411,683,53.45,23.1,1,Koritsyn,Zashtatnyi gorod,,,683,,Grodno,Sokolki
Kuznitsa,1109Kz1,Grodno,11,9,Pale,Lithuania,0,780,1346,53.5167,23.65,1,Kuznitsa,Zashtatnyi gorod,,,1346,,Grodno,Sokolki
Novyi Dvor,1109Nv1,Grodno,11,9,Pale,Lithuania,0,490,1300,53.6333,23.55,1,Novyi Dvor,Zashtatnyi gorod,,,1300,,Grodno,Sokolki
Odel'sk,1109Od1,Grodno,11,9,Pale,Lithuania,0,234,1462,53.4,23.7667,1,Odel'sk,Zashtatnyi gorod,,,1462,,Grodno,Sokolki
Sidra,1109Sd1,Grodno,11,9,Pale,Lithuania,0,742,1165,53.5667,23.45,1,Sidra,mestechko,,,1165,,Grodno,Sokolki
Sokolka,1109Sk1,Grodno,11,9,Pale,Lithuania,0,2848,7598,53.4167,23.5,1,Sokolka,Uezdnyi gorod,,,7598,,Grodno,Sokolki
Sukhovolia,1109Sk2,Grodno,11,9,Pale,Lithuania,0,1944,3203,53.5833,23.1,1,Sukhovolia,Zashtatnyi gorod,,,3203,,Grodno,Sokolki
Vasil'kov,1109Vs1,Grodno,11,9,Pale,Lithuania,0,1470,3880,53.2,23.2167,1,Vasil'kov,Zashtatnyi gorod,,,3880,,Grodno,Sokolki
Rostov-na-Donu,1205Rs1,Don,12,5,Beyond,Inner Russia,0,11838,119476,47.2333,39.7167,1,Rostov-na-Donu,Okruzhnoi gorod,,Different Uezd of that mentioned on cite,119476,,Don,Rostov-on-Don
Amvrosievka,1207Am1,Don,12,7,Beyond,Inner Russia,0,0,5365,47.8,38.4833,1,Amvrosievka,sloboda,,Different Uezd of that mentioned on cite; Calculated by subtraction from Total value any other groups mentioned in census for this place,5365,,Don,Taganrog
Taganrog,1207Tg1,Don,12,7,Beyond,Inner Russia,1,4843,51437,47.2167,38.9167,1,Taganrog,Okruzhnoi gorod,at_most,Different Uezd of that mentioned on cite; Calculated by subtraction from Total value any other groups mentioned in census for this place,51437,,Don,Taganrog
Chistiakova,1208Cs1,Don,12,8,Beyond,Inner Russia,1,1,1394,48.0333,38.5833,1,Chistiakova,sloboda,at_most,Different Uezd of that mentioned on cite; Calculated by subtraction from Total value any other groups mentioned in census for this place,1394,,Don,Ust'-Medveditskaia
Ekaterinoslav,1301Ek1,Yekaterinoslav,13,1,Pale,New Russia,0,41240,112839,48.45,34.9833,1,Ekaterinoslav,Gubernskii gorod,,,112839,,Yekaterinoslav,Ekaterinoslav
Kamenskoe,1301Km1,Yekaterinoslav,13,1,Pale,New Russia,1,852,16878,48.5,34.6167,1,Kamenskoe,selo,at_most,Calculated by subtraction from Total value any other groups mentioned in census for this place,16878,,Yekaterinoslav,Ekaterinoslav
Nikopol',1301Nk1,Yekaterinoslav,13,1,Pale,New Russia,0,3284,17097,47.5667,34.4,1,Nikopol',mestechko,,,17097,,Yekaterinoslav,Ekaterinoslav
Aleksandrovsk,1302Al1,Yekaterinoslav,13,2,Pale,New Russia,0,5290,18849,47.8167,35.1833,1,Aleksandrovsk,Uezdnyi gorod,,Name of district as it mentioned in census,18849,,Yekaterinoslav,Aleksandrovsk
Bogodarovka,1302Bg1,Yekaterinoslav,13,2,Pale,New Russia,0,605,679,47.7833,36.6333,1,Bogodarovka (Kovalevskaia),koloniia,,,679,,Yekaterinoslav,Aleksandrovsk
Guliai-Pole,1302Gl1,Yekaterinoslav,13,2,Pale,New Russia,0,1173,9497,47.6667,36.25,1,Guliai-Pole,selo,,,9497,,Yekaterinoslav,Aleksandrovsk
Gor'kaia,1302Gr1,Yekaterinoslav,13,2,Pale,New Russia,1,,,47.7333,36.5667,0,Gor'kaia (Nazarovicheva)?,,,Not mentioned in census; assigned to the district according to the coordinates (Yannay),,,Yekaterinoslav,Aleksandrovsk
Krasnoselka,1302Kr1,Yekaterinoslav,13,2,Pale,New Russia,0,515,594,47.6167,36.5667,1,Krasnoselka,koloniia,,,594,,Yekaterinoslav,Aleksandrovsk
Mezhiriech No. 4,1302Mz1,Yekaterinoslav,13,2,Pale,New Russia,0,448,549,47.6,36.4167,1,Mezhiriech No. 4,koloniia,,,549,,Yekaterinoslav,Aleksandrovsk
Novo-Zlatopol',1302Nv1,Yekaterinoslav,13,2,Pale,New Russia,0,669,817,47.6667,36.5667,1,Novo-Zlatopol',koloniia,,,817,,Yekaterinoslav,Aleksandrovsk
Pologi,1302Pl1,Yekaterinoslav,13,2,Pale,New Russia,1,84,4365,47.4833,36.25,1,Pologi,selo,at_most,Calculated by subtraction from Total value any other groups mentioned in census for this place,4365,,Yekaterinoslav,Aleksandrovsk
Trudoliubovka V,1302Tr1,Yekaterinoslav,13,2,Pale,New Russia,0,496,564,47.4667,36.7333,1,Trudoliubovka V,koloniia,,Assigned to district based on coordinates and JG assignment (Yannay),564,,Yekaterinoslav,Aleksandrovsk
Veselaia,1302Vs1,Yekaterinoslav,13,2,Pale,New Russia,1,,,47.6833,36.6167,0,"Veselaia (Gupalovka, Veselaia Evreika)",selo,,Not mentioned in census,,,Yekaterinoslav,Aleksandrovsk
Bakhmut,1303Bk1,Yekaterinoslav,13,3,Pale,New Russia,0,3259,19316,48.5833,38,1,Bakhmut,Uezdnyi gorod,,,19316,,Yekaterinoslav,Bakhmut
Druzhkovka,1303Dr1,Yekaterinoslav,13,3,Pale,New Russia,1,20,1892,48.6167,37.55,1,Druzhkovka,zavodskoi poselok,at_most,May be no Jews,1892,,Yekaterinoslav,Bakhmut
Gorlovka,1303Gr1,Yekaterinoslav,13,3,Pale,New Russia,1,260,7024,48.3,38.05,1,Gorlovka,Kamenno-ugol'nyi rudnik,at_most,Calculated by subtraction from Total value any other groups mentioned in census for this place,7024,,Yekaterinoslav,Bakhmut
Grishino,1303Gr2,Yekaterinoslav,13,3,Pale,New Russia,0,227,2597,48.2833,37.1833,1,Grishino,Zheleznodorozhnaia stantsiia s poselkom,,,2597,,Yekaterinoslav,Bakhmut
Iuzovka,1303Iz1,Yekaterinoslav,13,3,Pale,New Russia,0,3168,28076,48,37.8,1,Iuzovka,zavod s poselkom,,,28076,,Yekaterinoslav,Bakhmut
Shcherbinovka,1303Sc1,Yekaterinoslav,13,3,Pale,New Russia,1,195,2597,48.4,37.8333,1,Shcherbinovka,khutor,at_most,Calculated by subtraction from Total value any other groups mentioned in census for this place,2597,,Yekaterinoslav,Bakhmut
Sofievka,1304Sf1,Yekaterinoslav,13,4,Pale,New Russia,0,390,9327,48.05,33.8667,1,Sofievka,selo,,,9327,,Yekaterinoslav,Verkhnednieprovsk
Saksagan',1304Sk1,Yekaterinoslav,13,4,Pale,New Russia,0,355,9380,48.35,33.85,1,Saksagan' (Paiurovka),selo,,,9380,,Yekaterinoslav,Verkhnednieprovsk
Verkhnednieprovsk,1304Vr1,Yekaterinoslav,13,4,Pale,New Russia,0,2058,6701,48.65,34.3333,1,Verkhnednieprovsk,Uezdnyi gorod,,Name of district as it mentioned in census,6701,,Yekaterinoslav,Verkhnednieprovsk
Aleksandronevsk,1305Al1,Yekaterinoslav,13,5,Pale,New Russia,0,90,690,47.41667,,1,"Aleksandronevsk (Brunau, koloniia Grunau)",selo,," as in census, now in selo Vishnevatoe : http://www.rujen.ru/index.php/%D0%90%D0%9B%D0%95%D0%9A%D0%A1%D0%90%D0%9D%D0%94%D0%A0%D0%9E%D0%9D%D0%95%D0%92%D0%A1%D0%9A",690,,Yekaterinoslav,Mariupol'
Grafskaia,1305Gr1,Yekaterinoslav,13,5,Pale,New Russia,1,,,47.5167,36.8333,0,"Grafskaia (Proletarskoe, Proletars'ke)",koloniia,,Not mentioned in census,,,Yekaterinoslav,Mariupol'
Mariupol',1305Mr1,Yekaterinoslav,13,5,Pale,New Russia,0,5013,31116,47.1,37.55,1,Mariupol',Uezdnyi gorod,,,31116,,Yekaterinoslav,Mariupol'
Nadezhnaia,1305Nd1,Yekaterinoslav,13,5,Pale,New Russia,0,634,719,47.5833,36.8333,1,Nadezhnaia (Vil'ner),koloniia,,,719,,Yekaterinoslav,Mariupol'
Rovnopol',1305Rv1,Yekaterinoslav,13,5,Pale,New Russia,0,447,544,47.55,37.2333,1,Rovnopol' (Latyshnaia),koloniia,,,544,,Yekaterinoslav,Mariupol'
Sladkovodnaia,1305Sl1,Yekaterinoslav,13,5,Pale,New Russia,0,430,512,47.56667,36.76667,1,Sladkovodnaia (Kobyl'naia),koloniia,,,512,,Yekaterinoslav,Mariupol'
Zelenoe-Pole,1305Zl1,Yekaterinoslav,13,5,Pale,New Russia,0,658,729,47.55,36.85,1,Zelenoe-Pole,koloniia,,,729,,Yekaterinoslav,Mariupol'
Zatish'e,1305Zt1,Yekaterinoslav,13,5,Pale,New Russia,0,527,708,47.5167,37.3333,1,Zatish'e (Bakharova),Koloniia,,,708,,Yekaterinoslav,Mariupol'
Aleksandriia,1306Al1,Yekaterinoslav,13,6,Pale,New Russia,0,306,1119,48.98333,35.28333,1,Aleksandriia,posad,,,1119,,Yekaterinoslav,Novomoskovsk
Amur,1306Am1,Yekaterinoslav,13,6,Pale,New Russia,0,1235,6060,48.5,35.0667,1,Amur,poselok,,,6060,,Yekaterinoslav,Novomoskovsk
Igren,1306Ig1,Yekaterinoslav,13,6,Pale,New Russia,0,301,1915,48.4667,35.2,1,Igren,mestechko,,,1915,,Yekaterinoslav,Novomoskovsk
Novomoskovsk,1306Nv1,Yekaterinoslav,13,6,Pale,New Russia,0,1436,12883,48.6167,35.2,1,Novomoskovsk,Uezdnyi gorod,,,12883,,Yekaterinoslav,Novomoskovsk
Nizhnednieprovsk zheleznodoroz,1306Nz1,Yekaterinoslav,13,6,Pale,New Russia,0,186,1363,48.48333,35.1,1,Nizhnednieprovsk zheleznodorozhnaia stantsiia na zemlie A.M. Rubets,poselok,,United with Amur into Dnipropetrovsk,1363,,Yekaterinoslav,Novomoskovsk
Lozovaia na zemle V. N. Zarudn,1307Lz1,Yekaterinoslav,13,7,Pale,New Russia,0,813,3717,48.8833,36.3833,1,Lozovaia na zemle V. N. Zarudnoi,poselok,,,3717,,Yekaterinoslav,Pavlograd
Pavlograd,1307Pv1,Yekaterinoslav,13,7,Pale,New Russia,0,4382,15775,48.5167,35.8667,1,Pavlograd,Uezdnyi gorod,,,15775,,Yekaterinoslav,Pavlograd
Slavgorod na zemle Ts. S. Mirg,1307Sl1,Yekaterinoslav,13,7,Pale,New Russia,0,189,532,48.1,35.5167,1,Slavgorod na zemle Ts. S. Mirgorodskago,poselok,,,532,,Yekaterinoslav,Pavlograd
Sinel'nikov,1307Sn1,Yekaterinoslav,13,7,Pale,New Russia,0,259,2236,48.3333,35.5167,1,Sinel'nikov,poselok,,Different city name of that mentioned on site,2236,,Yekaterinoslav,Pavlograd
Brianka,1308Br1,Yekaterinoslav,13,8,Pale,New Russia,1,,,48.5,38.6667,0,Brianka,,,Not mentioned in census. Assigned to district based on JG and coordinates,,,Yekaterinoslav,Slavianoserbsk
Lugansk,1308Lg1,Yekaterinoslav,13,8,Pale,New Russia,0,1502,20404,48.5667,39.3333,1,Lugansk,Bezuezdnyi gorod,,Jewish pop according to JG (Yannay),20404,,Yekaterinoslav,Slavianoserbsk
Slavianoserbsk,1308Sl1,Yekaterinoslav,13,8,Pale,New Russia,1,170,3122,48.7,38.9833,1,Slavianoserbsk,Uezdnyi gorod,at_most,Name of district as it mentioned in census,3122,,Yekaterinoslav,Slavianoserbsk
Kazan',1401Kz1,Kazan,14,1,Beyond,Inner Russia,0,1467,129900,55.75,49.1333,1,Kazan',Gubernskii gorod,,http://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%81%D0%B5%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%9A%D0%B0%D0%B7%D0%B0%D0%BD%D0%B8#.D0.98.D1.81.D1.82.D0.BE.D1.80.D0.B8.D1.87.D0.B5.D1.81.D0.BA.D0.B8.D0.B5_.D0.B4.D0.B0.D0.BD.D0.BD.D1.8B.D0.B5,129900,,Kazan,Kazan'
Nizhnie Burtasy,1405Nz1,Kazan,14,5,Beyond,Inner Russia,0,58,494,55.48333,46.85,1,Nizhnie Burtasy,derevnia,,,494,,Kazan,Sviiazhsk
Sviiazhsk,1405Sv1,Kazan,14,5,Beyond,Inner Russia,1,92,2365,55.76667,48.65,1,Sviiazhsk,Uezdnyi gorod,at_most,May be no Jews there,2365,,Kazan,Sviiazhsk
Ten'ki,1405Tn1,Kazan,14,5,Beyond,Inner Russia,0,360,2728,55.43333,48.98333,1,Ten'ki,selo,,,2728,,Kazan,Sviiazhsk
Budaevka,1601Bd1,Kiev,16,1,Pale,South-West,0,239,1720,50.31667,30.3,1,Budaevka,selo,,Now in Boiarka,1720,,Kiev,Kiev
Borodianka,1601Br1,Kiev,16,1,Pale,South-West,0,621,2705,50.65,29.9833,1,Borodianka,mestechko,,,2705,,Kiev,Kiev
Byshev,1601By1,Kiev,16,1,Pale,South-West,0,597,3532,50.2667,29.8833,1,Byshev,mestechko,,,3532,,Kiev,Kiev
Demievka,1601Dm1,Kiev,16,1,Pale,South-West,0,4919,10551,50.4,30.51667,1,Demievka,selo,,Now Holosiivs'kyi district of Kyiv,10551,,Kiev,Kiev
Dymer,1601Dy1,Kiev,16,1,Pale,South-West,0,984,3201,50.7833,30.3,1,Dymer,mestechko,,,3201,,Kiev,Kiev
Germanovka,1601Gr1,Kiev,16,1,Pale,South-West,0,1049,3628,49.9833,30.5667,1,Germanovka,mestechko,,,3628,,Kiev,Kiev
Gostomel',1601Gs1,Kiev,16,1,Pale,South-West,0,916,2001,50.5833,30.2667,1,Gostomel',mestechko,,,2001,,Kiev,Kiev
Ignatovka,1601Ig1,Kiev,16,1,Pale,South-West,0,926,1093,50.4,30.2167,1,Ignatovka,mestechko,,,1093,,Kiev,Kiev
Iasnogorodka,1601Is1,Kiev,16,1,Pale,South-West,0,624,1614,50.35,30.0167,1,Iasnogorodka,mestechko,,,1614,,Kiev,Kiev
Kodra,1601Kd1,Kiev,16,1,Pale,South-West,0,88,879,50.56667,29.6,1,Kodra,derevnia,,,879,,Kiev,Kiev
Kagarlyk,1601Kg1,Kiev,16,1,Pale,South-West,0,1414,6705,49.85,30.8333,1,Kagarlyk,mestechko,,,6705,,Kiev,Kiev
Kiev,1601Kv1,Kiev,16,1,Pale,South-West,0,32093,247723,50.4333,30.5167,1,Kiev,Gubernskii gorod,,,247723,,Kiev,Kiev
Makarov,1601Mk1,Kiev,16,1,Pale,South-West,0,3953,5330,50.4667,29.8167,1,Makarov,mestechko,,,5330,,Kiev,Kiev
Obukhov,1601Ob1,Kiev,16,1,Pale,South-West,0,1140,8596,50.1,30.6333,1,Obukhov,mestechko,,,8596,,Kiev,Kiev
Rzhishchev,1601Rz1,Kiev,16,1,Pale,South-West,0,6008,11629,49.9667,31.05,1,Rzhishchev,mestechko,,,11629,,Kiev,Kiev
Tripol'e,1601Tr1,Kiev,16,1,Pale,South-West,0,1238,5637,50.11666,30.76667,1,Tripol'e,mestechko,,,5637,,Kiev,Kiev
Zhidovskie Stavy,1601Zd1,Kiev,16,1,Pale,South-West,1,48,1760,,,1,Zhidovskie Stavy (Zhidostavy),selo,at_most,According to the name mentioning Jews,1760,,Kiev,Kiev
Bielilovka,1602Bl1,Kiev,16,2,Pale,South-West,0,2223,4851,49.6833,29.0333,1,Bielilovka,mestechko,,,4851,,Kiev,Berdichev
Bielopol'e,1602Bl2,Kiev,16,2,Pale,South-West,0,1141,2619,49.85,28.8667,1,Bielopol'e,mestechko,,,2619,,Kiev,Berdichev
Bol'shie Nizgurtsy,1602Bl3,Kiev,16,2,Pale,South-West,0,339,1801,49.8833,28.7,1,Bol'shie Nizgurtsy,selo,,,1801,,Kiev,Berdichev
Berdichev,1602Br1,Kiev,16,2,Pale,South-West,0,41617,53351,49.9,28.5833,1,Berdichev,Uezdnyi gorod,,Name of district as it mentioned in census,53351,,Kiev,Berdichev
Dziun'kov,1602Dz1,Kiev,16,2,Pale,South-West,0,1137,4314,49.45,29.45,1,Dziun'kov,mestechko,,,4314,,Kiev,Berdichev
Kumanovka,1602Km1,Kiev,16,2,Pale,South-West,0,369,1089,49.65,28.7,1,Kumanovka,selo,,,1089,,Kiev,Berdichev
Karolevka,1602Kr1,Kiev,16,2,Pale,South-West,0,402,589,,,1,Karolevka,sloboda,,"Not found on map, may be united with Berdichev",589,,Kiev,Berdichev
Kazatin,1602Kz1,Kiev,16,2,Pale,South-West,0,1731,8614,49.7167,28.8333,1,Kazatin,mestechko,,,8614,,Kiev,Berdichev
Makhnovka,1602Mk1,Kiev,16,2,Pale,South-West,0,2435,5343,49.7167,28.6667,1,Makhnovka,mestechko,,,5343,,Kiev,Berdichev
Novaia Priluka,1602Nv1,Kiev,16,2,Pale,South-West,0,2011,3579,49.3833,28.7167,1,Novaia Priluka,mestechko,,,3579,,Kiev,Berdichev
Pogrebishche,1602Pg1,Kiev,16,2,Pale,South-West,0,2494,6284,49.4833,29.2667,1,Pogrebishche,mestechko,,,6284,,Kiev,Berdichev
Samgorodok,1602Sm1,Kiev,16,2,Pale,South-West,0,1234,3606,49.5333,28.85,1,Samgorodok,mestechko,,,3606,,Kiev,Berdichev
Spichintsy,1602Sp1,Kiev,16,2,Pale,South-West,0,937,2607,,,1,Spichintsy,mestechko,,,2607,,Kiev,Berdichev
Vakhnovka,1602Vk1,Kiev,16,2,Pale,South-West,0,2404,5371,49.3167,28.85,1,Vakhnovka,mestechko,,,5371,,Kiev,Berdichev
Bielaia Tserkov',1603Bl1,Kiev,16,3,Pale,South-West,0,18720,35378,49.7833,30.1167,1,Bielaia Tserkov',mestechko,,Name of district as it mentioned in census,35378,,Kiev,Vasil'kov
Fastov,1603Fs1,Kiev,16,3,Pale,South-West,0,5595,10728,50.0833,29.9167,1,Fastov (Khvastov),mestechko,,,10728,,Kiev,Vasil'kov
Grebenki,1603Gr1,Kiev,16,3,Pale,South-West,0,551,4009,49.95,30.2,1,Grebenki,selo,,,4009,,Kiev,Vasil'kov
Nastashka,1603Ns1,Kiev,16,3,Pale,South-West,0,535,4917,49.63334,30.3,1,Nastashka,selo,,,4917,,Kiev,Vasil'kov
Rokitne,1603Rk1,Kiev,16,3,Pale,South-West,0,2037,5818,49.7,30.46667,1,Rokitne,mestechko,,".  But almost surely a typo, as there is no evidence of a town of that size, and Rokitne is not listed in the census.",5818,,Kiev,Vasil'kov
Trilies'e,1603Tr1,Kiev,16,3,Pale,South-West,0,740,4612,49.98333,29.83333,1,Trilies'e,selo,,"Now Trylesy, Trylisy",4612,,Kiev,Vasil'kov
Vasil'kov,1603Vs1,Kiev,16,3,Pale,South-West,0,5156,13132,50.1833,30.3167,1,Vasil'kov,Uezdnyi gorod,,,13132,,Kiev,Vasil'kov
Boiarka,1604Br1,Kiev,16,4,Pale,South-West,0,720,1793,49.3333,30.6667,1,Boiarka,mestechko,,,1793,,Kiev,Zvenigorodka
Ekaterinopol',1604Ek1,Kiev,16,4,Pale,South-West,0,1980,7194,48.9333,30.9833,1,Ekaterinopol' (Kalkiboloty),mestechko,,,7194,,Kiev,Zvenigorodka
Lysianka,1604Ly1,Kiev,16,4,Pale,South-West,0,2845,7207,49.25,30.8333,1,Lysianka,mestechko,,,7207,,Kiev,Zvenigorodka
Mokraia Kaligorka,1604Mk1,Kiev,16,4,Pale,South-West,0,1677,3199,48.85,31.2167,1,Mokraia Kaligorka (Velikaia Kaligorka),mestechko,,,3199,,Kiev,Zvenigorodka
Ol'shana,1604Ol1,Kiev,16,4,Pale,South-West,0,1233,6164,49.2167,31.2167,1,Ol'shana,mestechko,,,6164,,Kiev,Zvenigorodka
Ryzhanovka,1604Ry1,Kiev,16,4,Pale,South-West,0,1374,4132,49.1,30.7167,1,Ryzhanovka,mestechko,,,4132,,Kiev,Zvenigorodka
Shpola,1604Sp1,Kiev,16,4,Pale,South-West,0,5388,11933,49,31.3833,1,Shpola,mestechko,,,11933,,Kiev,Zvenigorodka
Shpola,1604Sp2,Kiev,16,4,Pale,South-West,0,495,1005,,,1,Shpola,vladiel'cheskaia usad'ba na zemlie kniagini Urusovoi,,Now in Shpola,1005,,Kiev,Zvenigorodka
Vinograd,1604Vn1,Kiev,16,4,Pale,South-West,0,1523,4064,49.25,30.5667,1,Vinograd,selo,,,4064,,Kiev,Zvenigorodka
Zvenigorodka,1604Zv1,Kiev,16,4,Pale,South-West,0,6389,16923,49.0833,30.9667,1,Zvenigorodka,Uezdnyi gorod,,,16923,,Kiev,Zvenigorodka
Boguslav,1605Bg1,Kiev,16,5,Pale,South-West,0,7445,11372,49.55,30.8833,1,Boguslav,mestechko,,Name of district as it mentioned in census,11372,,Kiev,Kanev
Kanev,1605Kn1,Kiev,16,5,Pale,South-West,0,2682,8855,49.75,31.4667,1,Kanev,Uezdnyi gorod,,,8855,,Kiev,Kanev
Korsun',1605Kr1,Kiev,16,5,Pale,South-West,0,3799,8262,49.4333,31.25,1,Korsun',mestechko,,,8262,,Kiev,Kanev
Medvin,1605Md1,Kiev,16,5,Pale,South-West,0,1082,9766,49.3833,30.7833,1,Medvin,selo,,,9766,,Kiev,Kanev
Rassava,1605Rs1,Kiev,16,5,Pale,South-West,1,146,3691,49.7,30.95,1,Rassava,selo,at_most,Calculated by subtraction from Total value any other groups mentioned in census for this place,3691,,Kiev,Kanev
Shenderovka,1605Sn1,Kiev,16,5,Pale,South-West,0,761,3966,49.35,31.0333,1,Shenderovka,mestechko,,,3966,,Kiev,Kanev
Steblev,1605St1,Kiev,16,5,Pale,South-West,0,1472,5746,49.4,31.1,1,Steblev,mestechko,,,5746,,Kiev,Kanev
Stepantsy,1605St2,Kiev,16,5,Pale,South-West,0,3389,7436,49.7,31.3,1,Stepantsy,selo,,,7436,,Kiev,Kanev
Tagancho,1605Tg1,Kiev,16,5,Pale,South-West,0,953,4507,49.5833,31.2833,1,Tagancho,mestechko,,,4507,,Kiev,Kanev
Balabanovka,1606Bl1,Kiev,16,6,Pale,South-West,0,493,3089,49.1167,29.6167,1,Balabanovka,mestechko,,Name of district as it mentioned in census,3089,,Kiev,Lipovets
Il'intsy,1606Il1,Kiev,16,6,Pale,South-West,0,4993,10039,49.1167,29.2,1,Il'intsy (Lintsy),mestechko,,,10039,,Kiev,Lipovets
Iustingrad,1606Is1,Kiev,16,6,Pale,South-West,0,2521,3194,49.0167,30.1333,1,"Iustingrad (Zagaipol', Sokolovka)",mestechko,,,3194,,Kiev,Lipovets
Konela,1606Kn1,Kiev,16,6,Pale,South-West,0,744,2053,49.0667,30.1,1,Konela,mestechko,,,2053,,Kiev,Lipovets
Kitaigorod,1606Kt1,Kiev,16,6,Pale,South-West,0,735,2794,48.9667,29.5,1,Kitaigorod,mestechko,,,2794,,Kiev,Lipovets
Lukashevka,1606Lk1,Kiev,16,6,Pale,South-West,0,1724,4326,49.1667,29.75,1,Lukashevka,mestechko,,,4326,,Kiev,Lipovets
