name,type,prov,dist,pale,region,jews,total,no_jews,full_name,lat,lon,census,jewish_flag,pop_flag,comments,index_sht
Vysshie Samashkony,selo,Bessarabia,Orgieev,Pale,New Russia,79,678,0,Vysshie Samashkony,47.75,28.68333,1,"","","",0306Vy1
Ataki,mestechko,Bessarabia,Soroki,Pale,New Russia,4690,6976,0,Ataki,48.4333,27.8,1,"","","",0307At1
Bricheva,koloniia,Bessarabia,Soroki,Pale,New Russia,1598,1644,0,Bricheva,48.1167,27.65,1,"","","",0307Br1
Dombroveny,koloniia,Bessarabia,Soroki,Pale,New Russia,1726,1815,0,Dombroveny,48.05,28.2333,1,"","","",0307Dm1
Kapreshty,koloniia,Bessarabia,Soroki,Pale,New Russia,866,1002,0,Kapreshty (Kapremty),47.75,28.4667,1,"","",Different name in census but exactly the same population,0307Kp1
Kremenchuk,selo,Bessarabia,Soroki,Pale,New Russia,291,985,0,Kremenchuk,48.26667,28.06667,1,"","","",0307Kr1
Kot Markuleshty,koloniia,Bessarabia,Soroki,Pale,New Russia,1336,1339,0,Kot Markuleshty,47.8667,28.25,1,"","",Different name in census but exactly the same population,0307Kt1
Liublin,koloniia,Bessarabia,Soroki,Pale,New Russia,512,517,0,Liublin,48.11666,28.53333,1,"","",Coordinates added 191005,0307Lb1
Pogorno-Rezesh,derevnia,Bessarabia,Soroki,Pale,New Russia,73,540,0,Pogorno-Rezesh,47.8333,28.5,1,"","","",0307Pg1
Ruda,selo,Bessarabia,Soroki,Pale,New Russia,127,1289,0,Ruda,48.3333,27.9,1,"","","",0307Rd1
Subbotovka,derevnia,Bessarabia,Soroki,Pale,New Russia,,,1,Subbotovka,48.33333,28,,unknown,unknown,"Not mentioned in lists of census, found accidently, searching on Wikimapia",0307Sb1
Soroki,Uezdnyi gorod,Bessarabia,Soroki,Pale,New Russia,8783,15351,0,Soroki,48.15,28.3,1,"","","",0307Sr1
Vad,mestechko,Bessarabia,Soroki,Pale,New Russia,3237,4641,0,Vad (Vad-Rashkov),47.93333,28.81667,1,"","","",0307Vd1
Vertiuzhany,koloniia,Bessarabia,Soroki,Pale,New Russia,1047,1057,0,Vertiuzhany,48,28.5333,1,"","",Remains of settlement can be seen on Wikimapia,0307Vr1
Zguritse,koloniia,Bessarabia,Soroki,Pale,New Russia,1802,2107,0,Zguritse,48.1167,28.0167,1,"","","",0307Zg1
Ataki,selo,Bessarabia,Khotin,Pale,New Russia,123,831,0,Ataki,48.9,26.8,1,"","","",0308At1
Bolboka,selo,Bessarabia,Khotin,Pale,New Russia,89,829,0,Bolboka,48.36666,27.2,1,"","",http://ru.wikisource.org/wiki/%D0%A3%D0%BA%D0%B0%D0%B7_%D0%9F%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B8%D1%83%D0%BC%D0%B0_%D0%92%D0%A1_%D0%A1%D0%A1%D0%A1%D0%A0_%D0%BE%D1%82_4.11.1940_%D0%BE%D0%B1_%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BB%D0%B5,0308Bl1
Brakha,selo,Bessarabia,Khotin,Pale,New Russia,,,1,Brakha,48.5,26.5,,unknown,unknown,"Not mentioned in lists of census, found accidently, searching on Wikimapia on the opposite side of the Khotin river coast",0308Br1
Brichany,mestechko,Bessarabia,Khotin,Pale,New Russia,7184,7446,0,Brichany,48.3667,27.0833,1,"","","",0308Br2
Chepeliutsy,selo,Bessarabia,Khotin,Pale,New Russia,163,1555,0,Chepeliutsy,48.3,27.3,1,"","","",0308Cp1
Edintsy,mestechko,Bessarabia,Khotin,Pale,New Russia,7379,10211,0,Edintsy,48.1667,27.3,1,"","","",0308Ed1
Klishkovtsy,selo,Bessarabia,Khotin,Pale,New Russia,1000,7707,0,Klishkovtsy,48.4333,26.2667,1,"","","",0308Kl1
Khotin,Uezdnyi gorod,Bessarabia,Khotin,Pale,New Russia,9227,18398,0,Khotin,48.4833,26.5,1,"","","",0308Kt1
Lipkony,mestechko,Bessarabia,Khotin,Pale,New Russia,4410,6865,0,Lipkony,48.2667,26.8,1,"","",Different name in census but exactly the same population,0308Lp1
Neporotovo,selo,Bessarabia,Khotin,Pale,New Russia,268,1631,0,Neporotovo,48.6,27.28333,1,"","","",0308Np1
Novoselitsy,mestechko,Bessarabia,Khotin,Pale,New Russia,3898,5891,0,Novoselitsy,48.45,26.9833,1,"","","",0308Nv1
Rzhavintsy,selo,Bessarabia,Khotin,Pale,New Russia,369,2140,0,Rzhavintsy,48.5,26.06667,1,"","",Different name in census but close by name and by other local countries mentioned in Jewish encyclopedy of Brokhauz and Efron,0308Rz1
Sekuriany,selo,Bessarabia,Khotin,Pale,New Russia,5042,8982,0,Sekuriany,48.45,27.4167,1,"","","",0308Sk1
Voloshkovo,selo,Bessarabia,Khotin,Pale,New Russia,119,1050,0,Voloshkovo,48.46667,27.5,1,"","","",0308Vl1
Iaisa,"","","",Pale,Lithuania,,,1,Iaisa,55.4167,27.0833,0,"",unknown,Mentioned in Jewishgen but not in the census,04.Is1
Antokol',"",Vilnius,Vilnius,Pale,Lithuania,,,1,Antokol',54.7,25.3167,0,"",unknown,Mentioned in Jewishgen but not in the census,0401An1
Boguslavishki,"",Vilnius,Vilnius,Pale,Lithuania,,,1,Boguslavishki,55.0833,24.7667,0,"",unknown,Mentioned in Jewishgen but not in the census,0401Bg1
Bol'shie Solochniki,selo,Vilnius,Vilnius,Pale,Lithuania,207,586,0,Bol'shie Solochniki,54.3,25.3833,1,"","","",0401Bl1
