name,type,prov,dist,pale,region,jews,total,no_jews,full_name,lat,lon,census,jewish_flag,pop_flag,comments,index_sht
Ten'ki,selo,Kazan,Sviiazhsk,Beyond,Inner Russia,360,2728,0,Ten'ki,55.43333,48.98333,1,"","","",1405Tn1
Budaevka,selo,Kiev,Kiev,Pale,South-West,239,1720,0,Budaevka,50.31667,30.3,1,"","",Now in Boiarka,1601Bd1
Borodianka,mestechko,Kiev,Kiev,Pale,South-West,621,2705,0,Borodianka,50.65,29.9833,1,"","","",1601Br1
Byshev,mestechko,Kiev,Kiev,Pale,South-West,597,3532,0,Byshev,50.2667,29.8833,1,"","","",1601By1
Demievka,selo,Kiev,Kiev,Pale,South-West,4919,10551,0,Demievka,50.4,30.51667,1,"","",Now Holosiivs'kyi district of Kyiv,1601Dm1
Dymer,mestechko,Kiev,Kiev,Pale,South-West,984,3201,0,Dymer,50.7833,30.3,1,"","","",1601Dy1
Germanovka,mestechko,Kiev,Kiev,Pale,South-West,1049,3628,0,Germanovka,49.9833,30.5667,1,"","","",1601Gr1
Gostomel',mestechko,Kiev,Kiev,Pale,South-West,916,2001,0,Gostomel',50.5833,30.2667,1,"","","",1601Gs1
Ignatovka,mestechko,Kiev,Kiev,Pale,South-West,926,1093,0,Ignatovka,50.4,30.2167,1,"","","",1601Ig1
Iasnogorodka,mestechko,Kiev,Kiev,Pale,South-West,624,1614,0,Iasnogorodka,50.35,30.0167,1,"","","",1601Is1
Kodra,derevnia,Kiev,Kiev,Pale,South-West,88,879,0,Kodra,50.56667,29.6,1,"","","",1601Kd1
Kagarlyk,mestechko,Kiev,Kiev,Pale,South-West,1414,6705,0,Kagarlyk,49.85,30.8333,1,"","","",1601Kg1
Kiev,Gubernskii gorod,Kiev,Kiev,Pale,South-West,32093,247723,0,Kiev,50.4333,30.5167,1,"","","",1601Kv1
Makarov,mestechko,Kiev,Kiev,Pale,South-West,3953,5330,0,Makarov,50.4667,29.8167,1,"","","",1601Mk1
Obukhov,mestechko,Kiev,Kiev,Pale,South-West,1140,8596,0,Obukhov,50.1,30.6333,1,"","","",1601Ob1
Rzhishchev,mestechko,Kiev,Kiev,Pale,South-West,6008,11629,0,Rzhishchev,49.9667,31.05,1,"","","",1601Rz1
Tripol'e,mestechko,Kiev,Kiev,Pale,South-West,1238,5637,0,Tripol'e,50.11666,30.76667,1,"","","",1601Tr1
Zhidovskie Stavy,selo,Kiev,Kiev,Pale,South-West,48,1760,1,Zhidovskie Stavy (Zhidostavy),,,1,at_most,"",According to the name mentioning Jews,1601Zd1
Bielilovka,mestechko,Kiev,Berdichev,Pale,South-West,2223,4851,0,Bielilovka,49.6833,29.0333,1,"","","",1602Bl1
Bielopol'e,mestechko,Kiev,Berdichev,Pale,South-West,1141,2619,0,Bielopol'e,49.85,28.8667,1,"","","",1602Bl2
Bol'shie Nizgurtsy,selo,Kiev,Berdichev,Pale,South-West,339,1801,0,Bol'shie Nizgurtsy,49.8833,28.7,1,"","","",1602Bl3
Berdichev,Uezdnyi gorod,Kiev,Berdichev,Pale,South-West,41617,53351,0,Berdichev,49.9,28.5833,1,"","",Name of district as it mentioned in census,1602Br1
Dziun'kov,mestechko,Kiev,Berdichev,Pale,South-West,1137,4314,0,Dziun'kov,49.45,29.45,1,"","","",1602Dz1
Kumanovka,selo,Kiev,Berdichev,Pale,South-West,369,1089,0,Kumanovka,49.65,28.7,1,"","","",1602Km1
Karolevka,sloboda,Kiev,Berdichev,Pale,South-West,402,589,0,Karolevka,,,1,"","","Not found on map, may be united with Berdichev",1602Kr1
Kazatin,mestechko,Kiev,Berdichev,Pale,South-West,1731,8614,0,Kazatin,49.7167,28.8333,1,"","","",1602Kz1
Makhnovka,mestechko,Kiev,Berdichev,Pale,South-West,2435,5343,0,Makhnovka,49.7167,28.6667,1,"","","",1602Mk1
Novaia Priluka,mestechko,Kiev,Berdichev,Pale,South-West,2011,3579,0,Novaia Priluka,49.3833,28.7167,1,"","","",1602Nv1
Pogrebishche,mestechko,Kiev,Berdichev,Pale,South-West,2494,6284,0,Pogrebishche,49.4833,29.2667,1,"","","",1602Pg1
Samgorodok,mestechko,Kiev,Berdichev,Pale,South-West,1234,3606,0,Samgorodok,49.5333,28.85,1,"","","",1602Sm1
Spichintsy,mestechko,Kiev,Berdichev,Pale,South-West,937,2607,0,Spichintsy,,,1,"","","",1602Sp1
Vakhnovka,mestechko,Kiev,Berdichev,Pale,South-West,2404,5371,0,Vakhnovka,49.3167,28.85,1,"","","",1602Vk1
Bielaia Tserkov',mestechko,Kiev,Vasil'kov,Pale,South-West,18720,35378,0,Bielaia Tserkov',49.7833,30.1167,1,"","",Name of district as it mentioned in census,1603Bl1
Fastov,mestechko,Kiev,Vasil'kov,Pale,South-West,5595,10728,0,Fastov (Khvastov),50.0833,29.9167,1,"","","",1603Fs1
Grebenki,selo,Kiev,Vasil'kov,Pale,South-West,551,4009,0,Grebenki,49.95,30.2,1,"","","",1603Gr1
Nastashka,selo,Kiev,Vasil'kov,Pale,South-West,535,4917,0,Nastashka,49.63334,30.3,1,"","","",1603Ns1
Rokitne,mestechko,Kiev,Vasil'kov,Pale,South-West,2037,5818,0,Rokitne,49.7,30.46667,1,"","",".  But almost surely a typo, as there is no evidence of a town of that size, and Rokitne is not listed in the census.",1603Rk1
Trilies'e,selo,Kiev,Vasil'kov,Pale,South-West,740,4612,0,Trilies'e,49.98333,29.83333,1,"","","Now Trylesy, Trylisy",1603Tr1
Vasil'kov,Uezdnyi gorod,Kiev,Vasil'kov,Pale,South-West,5156,13132,0,Vasil'kov,50.1833,30.3167,1,"","","",1603Vs1
Boiarka,mestechko,Kiev,Zvenigorodka,Pale,South-West,720,1793,0,Boiarka,49.3333,30.6667,1,"","","",1604Br1
Ekaterinopol',mestechko,Kiev,Zvenigorodka,Pale,South-West,1980,7194,0,Ekaterinopol' (Kalkiboloty),48.9333,30.9833,1,"","","",1604Ek1
Lysianka,mestechko,Kiev,Zvenigorodka,Pale,South-West,2845,7207,0,Lysianka,49.25,30.8333,1,"","","",1604Ly1
Mokraia Kaligorka,mestechko,Kiev,Zvenigorodka,Pale,South-West,1677,3199,0,Mokraia Kaligorka (Velikaia Kaligorka),48.85,31.2167,1,"","","",1604Mk1
Ol'shana,mestechko,Kiev,Zvenigorodka,Pale,South-West,1233,6164,0,Ol'shana,49.2167,31.2167,1,"","","",1604Ol1
Ryzhanovka,mestechko,Kiev,Zvenigorodka,Pale,South-West,1374,4132,0,Ryzhanovka,49.1,30.7167,1,"","","",1604Ry1
Shpola,mestechko,Kiev,Zvenigorodka,Pale,South-West,5388,11933,0,Shpola,49,31.3833,1,"","","",1604Sp1
Shpola,vladiel'cheskaia usad'ba na zemlie kniagini Urusovoi,Kiev,Zvenigorodka,Pale,South-West,495,1005,0,Shpola,,,1,"","",Now in Shpola,1604Sp2
Vinograd,selo,Kiev,Zvenigorodka,Pale,South-West,1523,4064,0,Vinograd,49.25,30.5667,1,"","","",1604Vn1
Zvenigorodka,Uezdnyi gorod,Kiev,Zvenigorodka,Pale,South-West,6389,16923,0,Zvenigorodka,49.0833,30.9667,1,"","","",1604Zv1
Boguslav,mestechko,Kiev,Kanev,Pale,South-West,7445,11372,0,Boguslav,49.55,30.8833,1,"","",Name of district as it mentioned in census,1605Bg1
Kanev,Uezdnyi gorod,Kiev,Kanev,Pale,South-West,2682,8855,0,Kanev,49.75,31.4667,1,"","","",1605Kn1
Korsun',mestechko,Kiev,Kanev,Pale,South-West,3799,8262,0,Korsun',49.4333,31.25,1,"","","",1605Kr1
Medvin,selo,Kiev,Kanev,Pale,South-West,1082,9766,0,Medvin,49.3833,30.7833,1,"","","",1605Md1
Rassava,selo,Kiev,Kanev,Pale,South-West,146,3691,1,Rassava,49.7,30.95,1,at_most,"",Calculated by subtraction from Total value any other groups mentioned in census for this place,1605Rs1
Shenderovka,mestechko,Kiev,Kanev,Pale,South-West,761,3966,0,Shenderovka,49.35,31.0333,1,"","","",1605Sn1
Steblev,mestechko,Kiev,Kanev,Pale,South-West,1472,5746,0,Steblev,49.4,31.1,1,"","","",1605St1
Stepantsy,selo,Kiev,Kanev,Pale,South-West,3389,7436,0,Stepantsy,49.7,31.3,1,"","","",1605St2
Tagancho,mestechko,Kiev,Kanev,Pale,South-West,953,4507,0,Tagancho,49.5833,31.2833,1,"","","",1605Tg1
Balabanovka,mestechko,Kiev,Lipovets,Pale,South-West,493,3089,0,Balabanovka,49.1167,29.6167,1,"","",Name of district as it mentioned in census,1606Bl1
Il'intsy,mestechko,Kiev,Lipovets,Pale,South-West,4993,10039,0,Il'intsy (Lintsy),49.1167,29.2,1,"","","",1606Il1
Iustingrad,mestechko,Kiev,Lipovets,Pale,South-West,2521,3194,0,"Iustingrad (Zagaipol', Sokolovka)",49.0167,30.1333,1,"","","",1606Is1
Konela,mestechko,Kiev,Lipovets,Pale,South-West,744,2053,0,Konela,49.0667,30.1,1,"","","",1606Kn1
Kitaigorod,mestechko,Kiev,Lipovets,Pale,South-West,735,2794,0,Kitaigorod,48.9667,29.5,1,"","","",1606Kt1
Lukashevka,mestechko,Kiev,Lipovets,Pale,South-West,1724,4326,0,Lukashevka,49.1667,29.75,1,"","","",1606Lk1
Lipovets,Uezdnyi gorod,Kiev,Lipovets,Pale,South-West,4135,8658,0,Lipovets,49.2333,29.05,1,"","","",1606Lp1
Monastyrishche,mestechko,Kiev,Lipovets,Pale,South-West,2620,9404,0,Monastyrishche,48.9833,29.8167,1,"","","",1606Mn1
Novyi I Staryi Dashev,mestechko,Kiev,Lipovets,Pale,South-West,159,6729,1,Novyi I Staryi Dashev,49,29.45,1,at_most,"",Calculated by subtraction from Total value any other groups mentioned in census for this place,1606Nv1
Oratov,mestechko,Kiev,Lipovets,Pale,South-West,529,2439,0,Oratov,49.2,29.5333,1,"","","",1606Or1
Pliskov,mestechko,Kiev,Lipovets,Pale,South-West,1828,3890,0,Pliskov,49.3667,29.2833,1,"","","",1606Pl1
Sarny,mestechko,Kiev,Lipovets,Pale,South-West,1555,3220,0,Sarny (Okhrimovo & Sarna),48.93333,29.91667,1,"","","",1606Sr1
Terlitsa,mestechko,Kiev,Lipovets,Pale,South-West,1191,2304,0,Terlitsa,48.9333,29.7,1,"","","",1606Tr1
Tsybulev,mestechko,Kiev,Lipovets,Pale,South-West,463,3827,0,Tsybulev,49.0667,29.85,1,"","","",1606Ts1
Zhornishche,mestechko,Kiev,Lipovets,Pale,South-West,1040,3518,0,Zhornishche,49.06667,29.08333,1,"","","",1606Zr1
Zozov,mestechko,Kiev,Lipovets,Pale,South-West,414,3732,0,Zozov,49.31667,29.01667,1,"","","",1606Zz1
Bober,derevnia,Kiev,Radomysl',Pale,South-West,208,633,0,Bober,51.15,29.55,1,"","",Name of district as it mentioned in census,1607Bb1
Brusilov,mestechko,Kiev,Radomysl',Pale,South-West,3575,6703,0,Brusilov,50.2833,29.5333,1,"","","",1607Br1
Chopovichi,selo,Kiev,Radomysl',Pale,South-West,919,6654,0,Chopovichi,50.8333,28.95,1,"","","",1607Cp1
Chernobyl',mestechko,Kiev,Radomysl',Pale,South-West,5526,9351,0,Chernobyl',51.2667,30.2333,1,"","","",1607Cr1
Ditiatkovskaia,Pischebumazhnaia fabrika,Kiev,Radomysl',Pale,South-West,227,1326,0,Ditiatkovskaia,50.48333,29.21667,1,"","",E,1607Dt1
Gornostaipol',mestechko,Kiev,Radomysl',Pale,South-West,1888,3286,0,Gornostaipol',51.0667,30.25,1,"","","",1607Gr1
Ivan'kov,mestechko,Kiev,Radomysl',Pale,South-West,1577,3037,0,Ivan'kov,50.9333,29.9,1,"","","",1607Iv1
Kabany,derevnia,Kiev,Radomysl',Pale,South-West,135,986,0,Kabany,50.9,29.21667,1,"","","Now called Dibrova, http://en.wikipedia.org/wiki/Lazar_Kaganovich",1607Kb1
Khabno,mestechko,Kiev,Radomysl',Pale,South-West,1721,2719,0,Khabno,51.2333,29.3833,1,"","","",1607Kb2
Korostyshev,mestechko,Kiev,Radomysl',Pale,South-West,4160,7863,0,Korostyshev,50.3167,29.0667,1,"","","",1607Kr1
Malin,mestechko,Kiev,Radomysl',Pale,South-West,2547,4256,0,Malin,50.7667,29.2333,1,"","","",1607Ml1
Radomysl',Uezdnyi gorod,Kiev,Radomysl',Pale,South-West,7502,10906,0,Radomysl',50.5,29.2333,1,"","","",1607Rd1
Rozhev,mestechko,Kiev,Radomysl',Pale,South-West,610,2065,0,Rozhev,50.38334,29.65,1,"","","",1607Rz1
Sidorovichi,selo,Kiev,Radomysl',Pale,South-West,137,758,0,Sidorovichi,50.98333,29.58333,1,"","","",1607Sd1
Skuraty,selo,Kiev,Radomysl',Pale,South-West,189,1690,0,Skuraty,50.93333,29.1,1,"","","",1607Sk1
Terekhi,derevnia,Kiev,Radomysl',Pale,South-West,72,682,0,Terekhi,,,1,"","","",1607Tr1
Varovichi,selo,Kiev,Radomysl',Pale,South-West,134,1158,0,Varovichi,50.26667,30.2,1,"","","",1607Vr1
Zalieshane,derevnia,Kiev,Radomysl',Pale,South-West,102,855,0,Zalieshane,51.03333,29.58333,1,"","","",1607Zl1
Borshchagovka,mestechko,Kiev,Skvira,Pale,South-West,1853,3196,0,Borshchagovka,49.4833,29.5333,1,"","",Name of district as it mentioned in census,1608Br1
Khodorkov,mestechko,Kiev,Skvira,Pale,South-West,3672,6910,0,Khodorkov,50.1,29.3,1,"","","",1608Kd1
Kornin,mestechko,Kiev,Skvira,Pale,South-West,807,3103,0,Kornin,50.0833,29.3667,1,"","","",1608Kr1
Novofastov,mestechko,Kiev,Skvira,Pale,South-West,451,2355,0,Novofastov,49.5833,29.45,1,"","","",1608Nv1
Popel'nia,selo,Kiev,Skvira,Pale,South-West,131,1699,1,Popel'nia,49.9667,29.45,1,at_most,"",Calculated by subtraction from Total value any other groups mentioned in census for this place,1608Pp1
Pavoloch',mestechko,Kiev,Skvira,Pale,South-West,3391,8053,0,Pavoloch',49.8667,29.45,1,"","","",1608Pv1
Romanovka,mestechko,Kiev,Skvira,Pale,South-West,312,1896,0,Romanovka,49.98333,29.63333,1,"","","",1608Rm1
Ruzhin,mestechko,Kiev,Skvira,Pale,South-West,2917,4329,0,Ruzhin,49.7167,29.2333,1,"","","",1608Rz1
Skvira,Uezdnyi gorod,Kiev,Skvira,Pale,South-West,8910,17958,0,Skvira,49.7333,29.6667,1,"","","",1608Sk1
Sokol'che,mestechko,Kiev,Skvira,Pale,South-West,180,1451,0,Sokol'che (Sokol'cha),49.98333,29.31667,1,"","","",1608Sk2
Vcheraishe,mestechko,Kiev,Skvira,Pale,South-West,1108,3324,0,Vcheraishe,49.86666,29.13333,1,"","","",1608Vc1
Volodarka,mestechko,Kiev,Skvira,Pale,South-West,2079,4590,0,Volodarka,49.5167,29.9167,1,"","","",1608Vl1
Verkhovnia,selo,Kiev,Skvira,Pale,South-West,316,2440,0,Verkhovnia,49.8,29.3167,1,"","","",1608Vr1
Koshevata,mestechko,Kiev,Tarashcha,Pale,South-West,1265,5653,0,Koshevata,49.4833,30.6167,1,"","","",1609Ks1
Piatigory,mestechko,Kiev,Tarashcha,Pale,South-West,1385,4383,0,Piatigory,49.35,29.9333,1,"","","",1609Pt1
Staryi Zhivotov,mestechko,Kiev,Tarashcha,Pale,South-West,1935,3733,0,Staryi Zhivotov,49.2667,29.5333,1,"","","",1609St1
Stavishche,mestechko,Kiev,Tarashcha,Pale,South-West,3917,8186,0,Stavishche,49.3833,30.2,1,"","","",1609St2
Tarashcha,Uezdnyi gorod,Kiev,Tarashcha,Pale,South-West,4905,11259,0,Tarashcha,49.5667,30.5,1,"","","",1609Tr1
Tetiev,mestechko,Kiev,Tarashcha,Pale,South-West,3323,3493,0,Tetiev,49.3833,29.6667,1,"","","",1609Tt1
Zhashkov,mestechko,Kiev,Tarashcha,Pale,South-West,2445,5181,0,Zhashkov,49.25,30.1,1,"","","",1609Zs1
Antonovka,mestechko,Kiev,Uman',Pale,South-West,263,1837,0,Antonovka (Bukskaia),48.96667,30.7,1,"","",Probably this one as most close to Buki but there are at least one more country with the same name in the area,1610An1
Babanka,selo,Kiev,Uman',Pale,South-West,103,3220,1,Babanka,48.7,30.45,1,at_most,"",Calculated by subtraction from Total value any other groups mentioned in census for this place,1610Bb1
Buki,mestechko,Kiev,Uman',Pale,South-West,2298,3923,0,Buki (Antonovka),49.0833,30.4167,1,"","","",1610Bk1
Dubovo,mestechko,Kiev,Uman',Pale,South-West,1104,2783,0,Dubovo,48.6333,30.45,1,"","","",1610Db1
Ivan'ka,mestechko,Kiev,Uman',Pale,South-West,704,2589,0,Ivan'ka,48.9833,30.45,1,"","","",1610Iv1
Khristinovka,selo,Kiev,Uman',Pale,South-West,128,2677,1,Khristinovka,48.8333,29.9667,1,at_most,"",Calculated by subtraction from Total value any other groups mentioned in census for this place,1610Kr1
Ladyzhinka,selo,Kiev,Uman',Pale,South-West,1173,3722,0,Ladyzhinka,48.55,30.25,1,"","","",1610Ld1
Pogoriela,selo,Kiev,Uman',Pale,South-West,186,1510,0,Pogoriela,48.6333,29.9667,1,"","","",1610Pg1
Pokotilova,mestechko,Kiev,Uman',Pale,South-West,1670,3030,0,Pokotilova,48.4667,30.7,1,"","","",1610Pk1
Tal'noe,mestechko,Kiev,Uman',Pale,South-West,5452,9610,0,Tal'noe,48.8833,30.7,1,"","","",1610Tl1
Torgovitsa,mestechko,Kiev,Uman',Pale,South-West,1299,3677,0,Torgovitsa,48.65,30.7833,1,"","","",1610Tr1
Uman',Uezdnyi gorod,Kiev,Uman',Pale,South-West,17945,31016,0,Uman',48.75,30.2167,1,"","","",1610Um1
Voronoe,selo,Kiev,Uman',Pale,South-West,350,2544,0,Voronoe,49.13334,30.21667,1,"","","",1610Vr1
Cherkasy,Uezdnyi gorod,Kiev,Cherkasy,Pale,South-West,10950,29600,0,Cherkasy,49.4333,32.0667,1,"","","",1611Cr1
Gorodishche,mestechko,Kiev,Cherkasy,Pale,South-West,3124,14641,0,Gorodishche,49.2833,31.45,1,"","","",1611Gr1
Kamenka,mestechko,Kiev,Cherkasy,Pale,South-West,2193,6267,0,Kamenka,49.0333,32.1,1,"","","",1611Km1
Moshny,mestechko,Kiev,Cherkasy,Pale,South-West,1022,8049,0,Moshny,49.5333,31.75,1,"","","",1611Ms1
Rotmistrova,mestechko,Kiev,Cherkasy,Pale,South-West,1785,4823,0,Rotmistrova,49.1333,31.7,1,"","","",1611Rt1
Smiela,mestechko,Kiev,Cherkasy,Pale,South-West,7475,15187,0,Smiela,49.2333,31.8833,1,"","","",1611Sm1
Valiava,selo,Kiev,Cherkasy,Pale,South-West,111,4957,0,Valiava,49.3,31.31667,1,"","","",1611Vl1
Zhabotin,mestechko,Kiev,Cherkasy,Pale,South-West,272,1950,0,Zhabotin,49.15,32.15,1,"","","",1611Zb1
Aleksandrovka,mestechko,Kiev,Chigirin,Pale,South-West,3213,4366,0,Aleksandrovka,48.9667,32.2333,1,"","",Name of district as it mentioned in census,1612Al1
Chigirin,Uezdnyi gorod,Kiev,Chigirin,Pale,South-West,2922,9872,0,Chigirin,49.0667,32.6667,1,"","","",1612Cg1
Krylov,mestechko,Kiev,Chigirin,Pale,South-West,240,1943,0,Krylov,49.08333,33.25,1,"","",Now under water in Dnepr; http://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D0%B3%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D1%81%D0%BA,1612Kr1
Medviedovka,mestechko,Kiev,Chigirin,Pale,South-West,1453,3683,0,Medviedovka (Medvodovka),49.1667,32.3833,1,"","","",1612Md1
Stavidly,mestechko,Kiev,Chigirin,Pale,South-West,156,1410,0,Stavidly,48.83333,31.98333,1,"","","",1612St1
Telepino,mestechko,Kiev,Chigirin,Pale,South-West,632,3199,0,Telepino,49,31.8833,1,"","","",1612Tl1
Zlatopol',mestechko,Kiev,Chigirin,Pale,South-West,6373,8122,0,"Zlatopol' (Zlotopol', Guliai-Pole)",48.8167,31.6667,1,"","","",1612Zl1
Bobty,mestechko,Kovno,Kovna,Pale,Lithuania,125,654,0,Bobty,55.1,23.8,1,"","","",1701Bb1
Betygola,"",Kovno,Kovna,Pale,Lithuania,,,1,Betygola,55.3667,23.3667,0,"","",Not mentioned in census; May be no Jews or less than 500 people,1701Bt1
Chekishki,mestechko,Kovno,Kovna,Pale,Lithuania,432,668,0,Chekishki,55.1667,23.5167,1,"","","",1701Ck1
Dal'nie Petrashune,derevnia,Kovno,Kovna,Pale,Lithuania,265,543,0,Dal'nie Petrashune,54.86666,24,1,"","","",1701Dl1
Datnovo,mestechko,Kovno,Kovna,Pale,Lithuania,233,616,0,Datnovo,55.35,23.9,1,"","","",1701Dt1
Eirogola,mestechko,Kovno,Kovna,Pale,Lithuania,1541,2376,0,Eirogola,55.2667,23.4667,1,"","","",1701Er1
Grinkishki,mestechko,Kovno,Kovna,Pale,Lithuania,431,924,0,Grinkishki,55.5667,23.6333,1,"","","",1701Gr1
Ianovo,mestechko,Kovno,Kovna,Pale,Lithuania,3975,4993,0,Ianovo,55.0833,24.2833,1,"","","",1701In1
Iasvoini,mestechko,Kovno,Kovna,Pale,Lithuania,534,1329,0,Iasvoini,55.25,23.8333,1,"","","",1701Is1
Keidany,mestechko,Kovno,Kovna,Pale,Lithuania,3733,6113,0,Keidany,55.2833,23.9667,1,"","","",1701Kd1
Kroki,mestechko,Kovno,Kovna,Pale,Lithuania,1090,1846,0,Kroki,55.4,23.7333,1,"","","",1701Kr1
Kovna,Gubernskii gorod,Kovno,Kovna,Pale,Lithuania,25448,70920,0,Kovna,54.9,23.9,1,"","","",1701Kv1
Rumshishki,mestechko,Kovno,Kovna,Pale,Lithuania,411,1180,0,Rumshishki,54.85,24.2,1,"","","",1701Rm1
Sredniki,mestechko,Kovno,Kovna,Pale,Lithuania,1174,1648,0,Sredniki,55.0833,23.4167,1,"","","",1701Sr1
Veliony,mestechko,Kovno,Kovna,Pale,Lithuania,573,820,0,Veliony,55.0833,23.2833,1,"","","",1701Vl1
Vil'iampol'skoe,"",Kovno,Kovna,Pale,Lithuania,,,1,Vil'iampol'skoe (Slobodka),54.9167,23.8833,0,"","",Not mentioned in census; May be no Jews or less than 500 people,1701Vl2
Vil'ki,mestechko,Kovno,Kovna,Pale,Lithuania,1431,2012,0,Vil'ki,55.05,23.5833,1,"","","",1701Vl3
Vendziagoly,mestechko,Kovno,Kovna,Pale,Lithuania,374,655,0,Vendziagoly,55.1167,23.9667,1,"","","",1701Vn1
Zheimy,"",Kovno,Kovna,Pale,Lithuania,,,1,Zheimy,55.1833,24.2167,0,"","",Not mentioned in census; May be no Jews or less than 500 people,1701Zm1
Bol'niki,mestechko,Kovno,Vil'komir,Pale,Lithuania,255,576,0,Bol'niki,55.3,25.1333,1,"","",Name of district as it mentioned in census,1702Bl1
Dobeiki,"",Kovno,Vil'komir,Pale,Lithuania,,,1,Dobeiki,55.5833,25.3167,0,"","",Not mentioned in census; May be no Jews or less than 500 people,1702Db1
Kupishki,mestechko,Kovno,Vil'komir,Pale,Lithuania,2661,3742,0,Kupishki,55.8333,24.9667,1,"","","",1702Kp1
Kurkle,mestechko,Kovno,Vil'komir,Pale,Lithuania,257,789,0,Kurkle,55.4167,25.1167,1,"","","",1702Kr1
Kovarsk,mestechko,Kovno,Vil'komir,Pale,Lithuania,979,1546,0,Kovarsk,55.4333,24.9167,1,"","","",1702Kv1
Onikshty,mestechko,Kovno,Vil'komir,Pale,Lithuania,2754,3947,0,Onikshty,55.5333,25.1,1,"","","",1702On1
Ovanta,"",Kovno,Vil'komir,Pale,Lithuania,,,1,Ovanta,55.35,25.3,0,"","",Not mentioned in census; May be no Jews or less than 500 people,1702Ov1
Pogiry,mestechko,Kovno,Vil'komir,Pale,Lithuania,190,522,0,Pogiry,55.35,24.4,1,"","","",1702Pg1
Pozel've,mestechko,Kovno,Vil'komir,Pale,Lithuania,643,924,0,Pozel've,55.2167,25.1,1,"","","",1702Pz1
Rogovo,mestechko,Kovno,Vil'komir,Pale,Lithuania,1223,1762,0,Rogovo,55.5667,24.6,1,"","","",1702Rg1
Suboch,mestechko,Kovno,Vil'komir,Pale,Lithuania,376,840,0,Suboch,55.7667,24.75,1,"","","",1702Sb1
Skiemonys,"",Kovno,Vil'komir,Pale,Lithuania,,,1,Skiemonys,55.4167,25.2667,0,"","",Not mentioned in census; May be no Jews or less than 500 people,1702Sk1
Shimantsa,"",Kovno,Vil'komir,Pale,Lithuania,,,1,Shimantsa,55.7333,25.15,0,"","",Not mentioned in census; may be less than 500 people,1702Sm1
Sesikai,"",Kovno,Vil'komir,Pale,Lithuania,,,1,Sesikai,55.3,24.5,0,"","",Not mentioned in census; May be no Jews or less than 500 people,1702Ss1
Shaty,mestechko,Kovno,Vil'komir,Pale,Lithuania,1135,1670,0,Shaty,55.2833,24.25,1,"","","",1702St1
Sviadostse,mestechko,Kovno,Vil'komir,Pale,Lithuania,528,1423,0,Sviadostse,55.6833,25.3667,1,"","","",1702Sv1
Trashkuny,mestechko,Kovno,Vil'komir,Pale,Lithuania,779,1221,0,Trashkuny,55.6,24.85,1,"","","",1702Tr1
Troupy,"",Kovno,Vil'komir,Pale,Lithuania,,,1,Troupy,55.5167,24.75,0,"","",Not mentioned in census; May be no Jews or less than 500 people,1702Tr2
Toviany,"",Kovno,Vil'komir,Pale,Lithuania,,151,1,Toviany,55.4,24.75,0,"","",Not mentioned in census; May be no Jews; details about total population from http://lt.wikipedia.org/wiki/Tauj%C4%97nai,1702Tv1
Ushpol',derevnia,Kovno,Vil'komir,Pale,Lithuania,117,1024,0,Ushpol',55.63334,25.56667,1,"","",Now united in one Ushpol',1702Us1
Ushpol',mestechko,Kovno,Vil'komir,Pale,Lithuania,691,740,0,Ushpol',55.65,25.5833,1,"","",Now united in one Ushpol',1702Us2
Utsiany,mestechko,Kovno,Vil'komir,Pale,Lithuania,2405,3251,0,Utsiany,55.5,25.6,1,"","","",1702Ut1
Vidzishki,mestechko,Kovno,Vil'komir,Pale,Lithuania,151,483,0,Vidzishki,55.3,24.8667,1,"","","",1702Vd1
Vil'komir,Uezdnyi gorod,Kovno,Vil'komir,Pale,Lithuania,7287,13532,0,Vil'komir,55.25,24.75,1,"","","",1702Vl1
Vieshinty,mestechko,Kovno,Vil'komir,Pale,Lithuania,468,741,0,Vieshinty,55.7,24.9833,1,"","","",1702Vs1
Vizhuny,mestechko,Kovno,Vil'komir,Pale,Lithuania,445,561,0,Vizhuny,55.6,25.5,1,"","","",1702Vz1
Abeli,mestechko,Kovno,Novoaleksandrovsk,Pale,Lithuania,652,957,0,Abeli,55.9333,25.8,1,"","","",1703Ab1
Antolenty,mestechko,Kovno,Novoaleksandrovsk,Pale,Lithuania,474,554,0,Antolenty,55.6667,25.85,1,"","","",1703An1
Braslav,mestechko,Kovno,Novoaleksandrovsk,Pale,Lithuania,1234,1501,0,Braslav,55.6333,27.05,1,"","","",1703Br1
Dubinovo,derevnia,Kovno,Novoaleksandrovsk,Pale,Lithuania,495,550,0,Dubinovo,55.7667,26.95,1,"","","",1703Db1
Dukshty,posad,Kovno,Novoaleksandrovsk,Pale,Lithuania,452,641,0,Dukshty,55.5333,26.3333,1,"","","",1703Dk1
Drisviaty,mestechko,Kovno,Novoaleksandrovsk,Pale,Lithuania,221,572,0,Drisviaty,55.58333,26.66667,1,"","","",1703Dr1
Druisk,derevnia,Kovno,Novoaleksandrovsk,Pale,Lithuania,515,536,0,Druisk,55.7333,27.2833,1,"","","",1703Dr2
Dusiaty,mestechko,Kovno,Novoaleksandrovsk,Pale,Lithuania,1158,1278,0,Dusiaty,55.75,25.85,1,"","","",1703Ds1
