line_id,code,jg_id,name,enc_name,presence_type,year_code,upper_bound,lower_bound,mid_range,prov,dist,area,note,entry_source,ziv_yearcode,enc_page,lat,lon,display_name,osm_id,wikidata_id,name_he,name_sim,match_status
1986,LBL_GRB_UCHN,,Uchanie,UCHANIE,first_mention,1640,1640.0,1640.0,1640.0,Lublin,Hrubieszow,Congress Poland,,Shn,,1355.0,50.9079164,23.6471712,"Uchanie, powiat hrubieszowski, województwo lubelskie, Polska",371977700.0,Q2433817,,1.0,matched_db_api
1987,GLC_LWW_UHNW,-1057044.0,Uhnów,UHNOW,community_present,15XX,1600.0,1500.0,1550.0,Galicia,Rawa,Galicia,,Shn,,50.0,50.367231,23.7470971,"Угнів, Белзька міська громада, Шептицький район, Львівська область, 80065, Україна",30700536.0,Q156812,אוהנוב,1.0,matched_nominatim
1988,PTR_BRZ_UJZD,-533918.0,Ujazd,UJAZD,jews_arrived,16LX,1700.0,1675.0,1675.0,Piotrkow,Brzeziny,Congress Poland,,Shn,,1357.0,51.5980362,19.9218143,"Ujazd, powiat tomaszowski, województwo łódzkie, Polska",2491253154.0,Q2199861,,1.0,matched_db_api
1989,KVN_VLK_VLKM,-2620042.0,Vilkomir,UKMERGE,jews_arrived,16XX,1700.0,1600.0,1650.0,Kovno,Vilkomir,Pale,,Ziv,16EX,1358.0,55.2477293,24.7599714,"Ukmergė, Ukmergės miesto seniūnija, Vilniaus apskritis, Lietuva",33698686.0,Q213127,אוקמרגה,0.875,matched_db_api
1990,POD_LTN_ULNV,-1057102.0,Ulanov,ULANOV,jews_arrived,17EX,1750.0,1700.0,1725.0,Podolia,Litin,Pale,,Ziv,17EX,1358.0,49.6939529,28.1323125,"Уланів, Вінницька область, Україна",337548943.0,Q335665,,1.0,matched_db_api
1991,GLC_LWW_ULNW,-533954.0,Ulanów,ULANOW,community_present,17LX,1800.0,1775.0,1775.0,Galicia,Nisko,Galicia,,Shn,,1359.0,50.4904352,22.2625676,"Ulanów, powiat niżański, województwo podkarpackie, Polska",371978034.0,Q867437,,1.0,matched_db_api
1992,GLC_TRN_ULSZ,-1057106.0,Ułaszkowce,ULASZKOWCE,community_present,18XX,1900.0,1800.0,1850.0,Galicia,Czortkow,Galicia,,Shn,,1359.0,48.90083,25.82886,"Улашківці, Тернопільська область, Україна",337580873.0,Q4470921,,1.0,matched_db_api
1993,GLC_LWW_ULZW,-533977.0,Ułazów,ULAZOW,,,,,,Galicia,Cieszanow,Galicia,,Shn,,1360.0,50.273906,23.0024671,"Ułazów, powiat lubaczowski, województwo podkarpackie, Polska",31887655.0,Q7905455,,1.0,matched_db_api
1994,VTB_LPL_ULL,-1950894.0,Ulla,ULLA,jews_arrived,17EX,1750.0,1700.0,1725.0,Vitebsk,Lepel,Pale,,Ziv,17EX,1360.0,55.2243814,29.240568,"Ула, Бешанковіцкі раён, Віцебская вобласць, Беларусь",242979059.0,Q2376687,,1.0,matched_db_api
1995,GLC_LWW_ULCZ,-534007.0,Ułucz,ULUCZ,,,,,,Galicia,Brzozow,Galicia,,Shn,,1360.0,49.67363,22.28051,"Ulucz, powiat brzozowski, województwo podkarpackie, Polska",31944913.0,Q2777136,,1.0,matched_db_api
1996,KIV_UMN_UMN,-1057170.0,Uman,UMAN,jews_arrived,16XX,1700.0,1600.0,1650.0,Kiev,Uman,Pale,נחרב פעמיים עי היידמאקים,Ziv,16LX,1360.0,48.7497621,30.2203052,"Умань, Уманська міська громада, Уманський район, Черкаська область, 20324, Україна",248777764.0,Q208499,אומן,1.0,matched_nominatim
1997,CRN_SRZ_UNCH,-3025207.0,Unech,UNETCHA,community_present,1903,1903.0,1903.0,1903.0,Chernigov,Surazh,Pale,נאסר על יהודים להתיישב ב 1882 והותר להם ב 1903,Ziv,1903,1361.0,52.8449574,32.6700113,"Унеча, Унечский район, Брянская область, Россия",60078390.0,Q196827,אונייצ'ה,0.909,matched_db_api
1998,KLS_TRK_UNJW,-534027.0,Uniejów,UNIEJOW,jews_present,17MX,1775.0,1750.0,1750.0,Kalisz,Turek,Congress Poland,,Shn,,1361.0,51.9741302,18.793245,"Uniejów, powiat poddębicki, województwo łódzkie, Polska",31785097.0,Q500552,,1.0,matched_db_api
1999,KVN_RSS_UPN,-2620071.0,Upina,UPYNA,,,,,,Kovno,Rossieny,Pale,,Ziv,18LX,1362.0,55.4481384,22.4434318,"Upyna, Upynos seniūnija, Šilalės rajono savivaldybė, Tauragės apskritis, Lietuva",921218354.0,Q2738350,,1.0,matched_nominatim
2000,MNS_BBR_URCH,-1950915.0,Urieche,URETCHE,jews_arrived,17LX,1800.0,1775.0,1775.0,Minsk,Bobruisk,Pale,,Ziv,17LX,1362.0,52.9479611,27.8834642,"Урэчча, Любанскі раён, Мінская вобласць, Беларусь",242979056.0,Q1169315,,0.923,matched_db_api
2001,GLC_STN_URYC,,Urycz,URYCZ,,,,,,Galicia,Stryj,Galicia,,Shn,,1363.0,49.180481,23.408001,"Урич, Львівська область, Україна",337568651.0,Q2200148,,1.0,matched_db_api
2002,LBL_INV_URZN,,Urzendow,URZENDOW,jews_present,17XX,1800.0,1700.0,1750.0,Lublin,Janow,Congress Poland,,Shn,,1363.0,50.9939046,22.1435756,"Urzędów, powiat kraśnicki, województwo lubelskie, Polska",371949259.0,Q2044194,,0.933,matched_db_api
2003,GLC_TRN_USCZ,-1057280.0,Uście Zielone,USCIE ZIELONE,first_mention,1552,1552.0,1552.0,1552.0,Galicia,Tlumacz,Galicia,,Shn,,1363.0,49.0295527,24.964888,"Устя-Зелене, Тернопільська область, Україна",337575339.0,Q4478613,,1.0,matched_db_api
2004,VLH_VLD_USTL,-1057255.0,Ustilug,USCILUG,jews_present,16XX,1700.0,1600.0,1650.0,Volhynia,Vladimir-Volynskii,Pale,,Ziv,16EX,1363.0,50.8622192,24.1505139,"Устилуг, Устилузька міська громада, Володимирський район, Волинська область, 44731, Україна",3308250.0,Q147292,אוסטילוג,1.0,matched_nominatim
2005,VTB_LPL_USHC,-1950933.0,Ushach,USHACHI,first_mention,16LX,1700.0,1675.0,1675.0,Vitebsk,Lepel,Pale,,Ziv,16LX,1364.0,55.1790267,28.617221,"Ушачы, Ушацкі раён, Віцебская вобласць, Беларусь",242978948.0,Q2987234,אושאצ'י,0.923,matched_db_api
2006,VLH_ZHT_UTMR,-1057221.0,Utomir,USHOMIR,first_mention,1750,1750.0,1750.0,1750.0,Volhynia,Zhitomir,Pale,,Ziv,1750,1364.0,50.861889,28.469351,"Ушомир, Ушомирська сільська громада, Коростенський район, Житомирська область, 11571, Україна",337514850.0,Q239490,,0.833,matched_nominatim
2007,GLC_LWW_USTR,-534141.0,Ustrzyki Dolne,USTRZYKI DOLNE,community_founded,18EX,1850.0,1800.0,1825.0,Galicia,Lisko,Galicia,,Shn,,1365.0,49.4301874,22.5877003,"Ustrzyki Dolne, powiat bieszczadzki, województwo podkarpackie, Polska",2498740002.0,Q1906346,,1.0,matched_db_api
2008,VTB_VLZ_USVT,-3027477.0,Usviat,USVIYATY,jews_arrived,17LX,1800.0,1775.0,1775.0,Vitebsk,Velizh,Pale,,Ziv,17LX,1365.0,55.7432428,30.7538528,"Усвяты, Усвятский муниципальный округ, Псковская область, Россия",2499164596.0,Q2625702,,0.923,matched_db_api
2009,GLC_TRN_USZN,,Usznia,USZNIA,,,,,,Galicia,Zloczow,Galicia,,Shn,,,49.890568,24.91947,"Ушня, Золочівська міська громада, Золочівський район, Львівська область, 80713, Україна",337541554.0,Q4479692,,1.0,matched_nominatim
2010,KVN_VLK_UTSN,-2620103.0,Utsiany,UTENA,first_mention,15XX,1600.0,1500.0,1550.0,Kovno,Vilkomir,Pale,,Ziv,15EX,1365.0,55.4984381,25.6025772,"Utena, Utenos miesto seniūnija, Utenos apskritis, Lietuva",32832910.0,Q189157,אוטנה,0.857,matched_db_api
2011,MGL_GML_UVRV,-1950984.0,Uvarovichi,UVAROVICHI,POP,1897,1897.0,1897.0,1897.0,Mogilev,Gomel,Pale,,Ziv,18MX,1367.0,52.5961579,30.7281263,"Уваравічы, Буда-Кашалёўскі раён, Гомельская вобласць, Беларусь",242979077.0,Q2471816,,1.0,matched_db_api
2012,MNS_IGM_UZD,-1950990.0,Uzda,UZDA,jews_arrived,17EX,1750.0,1700.0,1725.0,Minsk,Igumen,Pale,,Ziv,17EX,1368.0,53.4651646,27.2147692,"Узда, Уздзенскі раён, Мінская вобласць, Беларусь",1580547422.0,Q201429,,1.0,matched_db_api
2013,KVN_VLK_USHP,-2620151.0,Ushpol,UZPALIAI,jews_arrived,17XX,1800.0,1700.0,1750.0,Kovno,Vilkomir,Pale,,Ziv,17EX,1369.0,55.651216,25.581736,"Užpaliai, Užpalių seniūnija, Utenos rajono savivaldybė, Utenos apskritis, Lietuva",850572841.0,,,1.0,matched_refined
2014,KVN_SHV_UZHV,-2620203.0,Uzhventy,UZVENTIS,jews_arrived,17XX,1800.0,1700.0,1750.0,Kovno,Shavli,Pale,,Ziv,17EX,1369.0,55.7280311,22.4084935,"Užventis, Panakatis, Varnių seniūnija, Telšių rajono savivaldybė, Telšių apskritis, 88050, Lietuva",1067351167.0,,,0.8,matched_nominatim
2015,KVN_PNV_VBLN,-2620214.0,Vobolniki,VABALNINKAS,jews_arrived,16XX,1700.0,1600.0,1650.0,Kovno,Poneviezh,Pale,,Ziv,16EX,1370.0,55.9800098,24.7467639,"Zaprutiškiai, Vabalninko seniūnija, Panevėžio apskritis, Lietuva",444364850.0,Q2000579,ובלנינקס,0.889,matched_db_api
2016,KIV_BRD_VKHN,-1057333.0,Vakhnovka,VACHNOVKA,POP,1897,1897.0,1897.0,1897.0,Kiev,Berdichev,Pale,,Ziv,1884,1371.0,49.3235033,28.8391757,"Вахнівка, Турбівська селищна громада, Вінницький район, Вінницька область, 22524, Україна",337562863.0,Q218470,,1.0,matched_nominatim
2017,CRL_GZN_VND,-3213817.0,Vainode,VAINODE,community_present,19EX,1915.0,1900.0,1925.0,Courland,Gazenpot,Mainland Russia,,Ziv,1935,1372.0,56.4193509,21.8511869,"Vaiņode, Vaiņodes pagasts, Dienvidkurzemes novads, LV-3435, Latvija",1152558284.0,Q1023741,,1.0,matched_nominatim
2018,KVN_RSS_VNTY,-2620269.0,Voinuty,VAINUTAS,jews_arrived,16XX,1700.0,1600.0,1650.0,Kovno,Rossieny,Pale,,Ziv,16EX,1372.0,55.3663015,21.8679942,"Vainutas, Vainuto seniūnija, Šilutės rajono savivaldybė, Klaipėdos apskritis, Lietuva",448593632.0,Q3055022,,1.0,matched_refined
2019,CRL_TLS_SSMK,-3213835.0,Sasmaken,VALDEMARPILS,jews_present,17EX,1750.0,1700.0,1725.0,Courland,Talsen,Mainland Russia,,Ziv,17EX,1372.0,57.369306,22.5895069,"Valdemārpils, Latvija",444735701.0,Q846341,,0.889,matched_db_api
2020,BSS_BLT_VLLV,-2277553.0,Valialui Vlad,VALEA LUI VLAD,community_founded,1836,1836.0,1836.0,1836.0,Bessarabia,Bieltsy,Pale,,Ziv,1863,1373.0,47.4822493,28.1268665,"Valea lui Vlad, Dumbrăvița, Raionul Sîngerei, Moldova",281159656.0,Q4103165,,0.963,matched_nominatim
2021,KHR_ANN_VLGT,-1038019.0,Valegotsulovo,VALEGOTSULOVO,jews_arrived,18EX,1850.0,1800.0,1825.0,Kherson,Ananev,Pale,,Ziv,18EX,1373.0,47.528999,29.910505,"Долинське, Долинська сільська громада, Подільський район, Одеська область, 66442, Україна",337675035.0,Q3622393,,1.0,matched_nominatim
2022,LVL_VLK_VLK,-2626209.0,Valk,VALGA,community_founded,1859,1859.0,1859.0,1859.0,Livland,Valk,Mainland Russia,העיר נמצאת על גבול אסטוניה-לטביה ומחולקת בין שתיהן,Ziv,1859,1373.0,57.7729106,26.0160341,"Valka, Latvija",462007984.0,Q323774,,0.889,matched_db_api
2023,LVL_VLM_VLMR,-3214770.0,Volmar,VALMIERA,jews_present,1897,1897.0,1897.0,1897.0,Livland,Volmar,Mainland Russia,,Ziv,1897,1374.0,57.5389148,25.4261688,"Valmiera, Valmieras novads, Latvija",13048680.0,Q108037,ולמירה,1.0,matched_refined
2024,KVN_KVN_VNDZ,-2620353.0,Vendziagoly,VANDZIOGALA,jews_arrived,16XX,1700.0,1600.0,1650.0,Kovno,Kovno,Pale,,Ziv,16EX,1374.0,55.1175772,23.9581519,"Vandžiogala, Vandžiogalos seniūnija, Kauno rajono savivaldybė, Kauno apskritis, Lietuva",150543772.0,Q2875399,,1.0,matched_refined
2025,POD_LMP_VPNR,-1057374.0,Vapniarka,VAPNYARKA,jews_present,1784,1784.0,1784.0,1784.0,Podolia,Lampol,Pale,,Ziv,1784,1374.0,48.5312383,28.7468189,"Вапнярка, Вапнярська селищна громада, Тульчинський район, Вінницька область, 24240, Україна",337595390.0,Q2993501,,1.0,matched_nominatim
