id,name,name_he,viv,viv_code,powiat,sum_group,value,addition,addition_type,group,geocode,modern_name,lat,lon,galil,galil_id,wikidata,wikipedia,osm_id,text,is_child,parent_id
21,Poznan,פוזנאן (פוזנו),Poznan,PZN,,PZN_1,1951,,,,PZN_POZNAN,"Poznań, Greater Poland Voivodeship, Poland",52.4056786,16.9312766,Great Poland,3,,,,W mieście Poznan Sy.,0,
22,Rawicz,ראביץ',Poznan,PZN,,PZN_1,563,,,,PZN_RAWICZ,"Rawicz, Greater Poland Voivodeship, Poland",51.60945,16.85863,Great Poland,3,Q52898,pl:Rawicz,2690055,W mieście Rawicz Sy.,0,
23,Restarzew,,Poznan,PZN,,PZN_1,52,,,,PZN_RESTARZEW,"Rostarzewo, Greater Poland Voivodeship, Poland",52.1330482,16.2016894,Great Poland,3,,,31612406,W mieście Restarzew communittis,0,
24,Rogozno,רוגזן,Poznan,PZN,,PZN_1,386,,,,PZN_ROGOZNO,"Rogoźno, Greater Poland Voivodeship, Poland",52.74965,17.00343,Great Poland,3,Q987193,pl:Rogoźno,2698549,W mieście Rogozno Sy.,0,
25,Sarnowa,סרנובה,Poznan,PZN,,PZN_1,79,,,,PZN_SAMOWA,,51.631,16.907,Great Poland,3,Q9333921,pl:Sarnowa_(Rawicz),,W mieście Samowa Sy.,0,
26,Sierakow,שיראקוב,Poznan,PZN,,PZN_1,119,,,,PZN_SIERAKOW,"Sieraków, Greater Poland Voivodeship, Poland",52.65088,16.07973,Great Poland,3,Q7511221,pl:Sieraków (województwo małopolskie),3553080,W mieście Sierakow Sy.,0,
27,Skwirzyna,סקווייז'ינה,Poznan,PZN,,PZN_1,492,,,,PZN_SKWIERZYNA,"Skwierzyna, Lubusz Voivodeship, Poland",52.5991741,15.5060653,Great Poland,3,Q994585,pl:Skwierzyna,2881706,W mieście Skwirzyna S.,0,
29,Szlichtyczkow,,Poznan,WSC,Wschowsa,PZN_2,80,,,,WSC_SZLISZKOWCE,"Szlichtyngowa, Wschowa County, Lubusz Voivodeship, Poland",51.7119647,16.2425128,Great Poland,3,,,2864891,W mieście Szlichtyczkow Sy.,0,
30,Szrem,שראם / שרם,Poznan,WSC,Wschowsa,PZN_2,327,,,,WSC_SREM,"Śrem, Śrem County, Greater Poland Voivodeship, Poland",52.0887,17.01506,Great Poland,3,Q387260,pl:Śrem,2611096,W mieście Szrem Sy.,0,
31,Stęszew,סטשב,Poznan,WSC,Wschowsa,PZN_2,55,,,,WSC_STESZEW,"Stęszew, Poznań County, Greater Poland Voivodeship, Poland",52.28375,16.70074,Great Poland,3,Q638725,pl:Stęszew,3008940,W mieście Stęszew communitt.,0,
32,Szwarzęc,שמוטולי,Poznan,WSC,Wschowsa,PZN_2,1024,,,,WSC_SWARZEC,"Swarzędz, gmina Swarzędz, Poznań County, Greater Poland Voivodeship, Poland",52.4103728,17.0771038,Great Poland,3,Q50991,pl:Swarzędz,289375,W mieście Szwarzęc Sy.,0,
33,Samotuły,שמוטולי,Poznan,WSC,Wschowsa,PZN_2,494,,,,WSC_SZAMOTULY,"Szamotuły, Szamotuły County, Greater Poland Voivodeship, Poland",52.6116547,16.5779047,Great Poland,3,Q51427,pl:Szamotuły,3009680382,W mieście Samotuły Sy.,0,
34,Trzcianka,שונלאנקה,Poznan,WSC,Wschowsa,PZN_2,338,,,,WSC_TRZCIANKA,"Trzcianka, Czarnków-Trzcianka County, Greater Poland Voivodeship, Poland",53.0418691,16.4616755,Great Poland,3,Q934785,,1139703164,W mieście Trzcianka Sy.,0,
